date,p0,p1,p2,refit_date
2009-12-31,1.7016761881989537e-17,1.0,2.157986888268818e-85,2009-12-31
2010-01-31,6.107243168806189e-15,0.9999999999999939,8.385222240046977e-62,2009-12-31
2010-02-28,1.647801253975592e-17,1.0,1.6632073043192593e-47,2009-12-31
2010-03-31,2.520350372281901e-20,1.0,2.995171277712964e-38,2009-12-31
2010-04-30,1.1095728035428098e-17,1.0,6.69773819581701e-32,2009-12-31
2010-05-31,1.1597551965797665e-06,0.9999988402448035,4.42912777296528e-24,2009-12-31
2010-06-30,3.1386591249186783e-08,0.9999999686134088,1.8910913471585465e-19,2009-12-31
2010-07-31,9.472667672223732e-11,0.9999999999052733,2.6020983535272937e-17,2009-12-31
2010-08-31,1.2904386166116634e-07,0.9999998709552052,9.331405222654426e-13,2009-12-31
2010-09-30,1.300394565589379e-10,0.9999999998698701,9.046044304888484e-14,2009-12-31
2010-10-31,2.7941404188099135e-11,0.9999999999720564,2.308054692926311e-15,2009-12-31
2010-11-30,6.14784346822596e-10,0.9999999993851558,5.983157681646952e-14,2009-12-31
2010-12-31,1.3142827695553387e-21,0.9999999999999994,6.115379350121634e-16,2010-12-31
2011-01-31,6.039288474759532e-25,1.0,8.039377713496599e-18,2010-12-31
2011-02-28,3.1210482876074785e-25,0.9999999999999999,6.572462390341766e-17,2010-12-31
2011-03-31,2.3346472356854773e-26,0.9999999999999999,1.5280546561319922e-16,2010-12-31
2011-04-30,4.039664536932207e-28,1.0,5.357902561558032e-17,2010-12-31
2011-05-31,1.3052860272624187e-28,0.9999999999999997,3.764991631243758e-16,2010-12-31
2011-06-30,1.0708781706278752e-26,1.0,2.9074272550226704e-17,2010-12-31
2011-07-31,9.284608424988017e-23,0.9999999999999999,1.297605779976499e-16,2010-12-31
2011-08-31,3.129236182809398e-22,0.9999999999999837,1.6321962163294826e-14,2010-12-31
2011-09-30,5.3688742506008975e-15,0.9999999999896617,1.0332893273304753e-11,2010-12-31
2011-10-31,1.2640771243185462e-18,0.9999999999570149,4.2985108121589635e-11,2010-12-31
2011-11-30,5.1328239438134303e-20,0.9999999999298367,7.016336211737568e-11,2010-12-31
2011-12-31,7.317041620559778e-21,0.9999999999983146,1.685432534436141e-12,2011-12-31
2012-01-31,1.9446562456105084e-20,0.9999999999144275,8.557251612142307e-11,2011-12-31
2012-02-29,7.381112726858978e-21,0.999999999661591,3.3840900102393303e-10,2011-12-31
2012-03-31,6.011811406817909e-19,0.9999999989781793,1.0218207412548217e-09,2011-12-31
2012-04-30,2.431541308550914e-17,0.9999999884988435,1.150115641035991e-08,2011-12-31
2012-05-31,1.511665452454232e-16,0.9999999965129976,3.487002259009197e-09,2011-12-31
2012-06-30,1.2571422520233006e-17,0.9999996760986711,3.239013289647012e-07,2011-12-31
2012-07-31,1.7013583523402016e-17,0.9999996490133072,3.509866928599182e-07,2011-12-31
2012-08-31,5.668796251638933e-20,0.9999989375838246,1.0624161753831887e-06,2011-12-31
2012-09-30,1.8961030215516484e-24,0.9999999961085592,3.89144089632648e-09,2011-12-31
2012-10-31,1.3891420418593955e-20,0.9999999944274086,5.572591427965479e-09,2011-12-31
2012-11-30,4.716143936024302e-20,0.999999820618835,1.7938116510431062e-07,2011-12-31
2012-12-31,2.1204377882291276e-16,0.9999999997664849,2.335149438910232e-10,2012-12-31
2013-01-31,2.54384784017777e-15,0.9999999978135008,2.186496628396183e-09,2012-12-31
2013-02-28,2.1249382251072662e-13,0.99999997728777,2.2712017469653843e-08,2012-12-31
2013-03-31,3.8672090587886585e-15,0.9999999361783343,6.382166178775026e-08,2012-12-31
2013-04-30,8.565689111574173e-16,0.9999994994857468,5.005142523747918e-07,2012-12-31
2013-05-31,1.0250633595105297e-15,0.9999999949717581,5.0282409004236905e-09,2012-12-31
2013-06-30,4.952088662827613e-15,0.9999999998436412,1.563538666446922e-10,2012-12-31
2013-07-31,6.258019265469124e-17,0.9999999999901689,9.83103488614502e-12,2012-12-31
2013-08-31,9.040912795378874e-17,0.99999999999977,2.2987385168025864e-13,2012-12-31
2013-09-30,1.2904043136079213e-16,0.9999999999952071,4.792881184221536e-12,2012-12-31
2013-10-31,3.821395539554644e-16,0.9999999997785224,2.2147724529161736e-10,2012-12-31
2013-11-30,1.8589261849036189e-16,0.9999999999984068,1.5929775057546268e-12,2012-12-31
2013-12-31,2.655373421042879e-32,3.115956947483726e-11,0.9999999999688404,2013-12-31
2014-01-31,9.683606025791356e-28,1.6473785240987613e-10,0.9999999998352621,2013-12-31
2014-02-28,2.3055283949763177e-29,8.872736757224e-10,0.9999999991127263,2013-12-31
2014-03-31,1.021673658961351e-28,1.1760511061778238e-10,0.9999999998823949,2013-12-31
2014-04-30,1.4301922198340479e-30,2.6916758885206274e-11,0.9999999999730833,2013-12-31
2014-05-31,2.464839519486547e-30,6.630859551215062e-11,0.9999999999336915,2013-12-31
2014-06-30,9.580919160510786e-30,3.412636811893042e-10,0.9999999996587363,2013-12-31
2014-07-31,2.036239523305858e-26,5.850704513112731e-09,0.9999999941492955,2013-12-31
2014-08-31,3.1944134069733847e-26,3.3730900048244095e-12,0.9999999999966269,2013-12-31
2014-09-30,4.3620838193952576e-27,1.6977527692844194e-12,0.9999999999983022,2013-12-31
2014-10-31,2.167596404056745e-27,1.9820506034891562e-14,0.9999999999999802,2013-12-31
2014-11-30,7.731588128142982e-28,8.165233056604869e-17,0.9999999999999999,2013-12-31
2014-12-31,1.3944223716102047e-16,9.164158297451586e-05,0.9999083584170253,2014-12-31
2015-01-31,1.0319303494386727e-13,0.000492299364953299,0.9995077006349435,2014-12-31
2015-02-28,3.450991746867076e-11,0.03257524937458173,0.9674247505909084,2014-12-31
2015-03-31,4.871934180771748e-10,0.0037944061681914635,0.9962055933446151,2014-12-31
2015-04-30,7.741004433260627e-15,3.269930625221518e-05,0.9999673006937401,2014-12-31
2015-05-31,2.632414984843232e-15,0.00012353509704954933,0.9998764649029479,2014-12-31
2015-06-30,2.0337836299383296e-12,0.0004193954132983772,0.9995806045846678,2014-12-31
2015-07-31,7.75773420399966e-11,0.007470007958060724,0.9925299919643619,2014-12-31
2015-08-31,8.230057954682316e-08,0.007095386352064941,0.9929045313473555,2014-12-31
2015-09-30,1.5318937959895336e-09,0.0018801504126581673,0.9981198480554481,2014-12-31
2015-10-31,5.213816192363737e-13,0.0010181040149638467,0.9989818959845147,2014-12-31
2015-11-30,4.436335035617797e-14,0.0012263653246718355,0.9987736346752838,2014-12-31
2015-12-31,9.419976832405173e-11,3.177150329583226e-05,0.9999682284025044,2015-12-31
2016-01-31,3.6854722986786923e-09,2.9513606324516284e-05,0.9999704827082031,2015-12-31
2016-02-29,1.8514070235736136e-10,6.491661614686624e-06,0.9999935081532446,2015-12-31
2016-03-31,3.553964250013542e-11,0.0024090241920106266,0.9975909757724497,2015-12-31
2016-04-30,1.9010345686832503e-07,0.001139952468173114,0.99885985742837,2015-12-31
2016-05-31,1.8689591969172613e-08,0.006612348090489706,0.9933876332199183,2015-12-31
2016-06-30,4.8258763910258235e-08,0.0001820271269967555,0.9998179246142394,2015-12-31
2016-07-31,1.4945839753835569e-09,0.02212353391579623,0.9778764645896197,2015-12-31
2016-08-31,1.8128336103104472e-07,0.06611981692619039,0.9338800017904486,2015-12-31
2016-09-30,1.1508711806098505e-05,0.5494591460975475,0.45052934519064636,2015-12-31
2016-10-31,0.0004669349327363652,0.7970978436761503,0.20243522139111342,2015-12-31
2016-11-30,3.249390613891829e-05,0.9991105151202551,0.0008569909736061218,2015-12-31
2016-12-31,2.225551378416857e-06,0.9882354709201793,0.011762303528442255,2016-12-31
2017-01-31,4.3023356413713947e-07,0.9999942536550929,5.316111342984879e-06,2016-12-31
2017-02-28,2.6583985317182955e-06,0.9999941517426614,3.189858807014231e-06,2016-12-31
2017-03-31,1.671146294443094e-07,0.9999747301619278,2.5102723442818083e-05,2016-12-31
2017-04-30,9.379566570872922e-09,0.9992601319187494,0.0007398587016840197,2016-12-31
2017-05-31,3.2329788925600052e-09,0.9995045435272746,0.0004954532397466258,2016-12-31
2017-06-30,5.528663134055648e-09,0.9999737020059252,2.6292465411690078e-05,2016-12-31
2017-07-31,1.6172175561800038e-09,0.9999944882395242,5.510143258291719e-06,2016-12-31
2017-08-31,9.308855297658535e-10,0.9999588485262635,4.1150542851066464e-05,2016-12-31
2017-09-30,8.400078037667044e-10,0.9999872462547159,1.2752905276335917e-05,2016-12-31
2017-10-31,2.368834558371636e-10,0.9999954288396443,4.570923472250924e-06,2016-12-31
2017-11-30,9.76259237973694e-11,0.9999973033031481,2.6965992260395976e-06,2016-12-31
2017-12-31,4.8118601285445674e-11,0.9999991784624406,8.214894408602033e-07,2017-12-31
2018-01-31,6.572939048107975e-11,0.9999998072977391,1.926365315490145e-07,2017-12-31
2018-02-28,1.6963063740463176e-09,0.9999996018042671,3.9649942664224523e-07,2017-12-31
2018-03-31,1.2281094319054082e-09,0.9999994670626642,5.317092264809432e-07,2017-12-31
2018-04-30,9.94219999803026e-11,0.9999999873679958,1.2532582304349739e-08,2017-12-31
2018-05-31,5.5948547423733556e-11,0.9999999264451992,7.349885228065226e-08,2017-12-31
2018-06-30,1.4511142942762244e-10,0.9999999413268487,5.852803994485421e-08,2017-12-31
2018-07-31,1.3207199476228691e-11,0.9999999885042703,1.1482522442546122e-08,2017-12-31
2018-08-31,1.4593973058100104e-11,0.9999999832682422,1.671716384576922e-08,2017-12-31
2018-09-30,4.333818255840432e-12,0.9999999914467681,8.548898030160424e-09,2017-12-31
2018-10-31,1.1665549245931921e-09,0.9999994569431888,5.418902563249563e-07,2017-12-31
2018-11-30,5.250375158077737e-10,0.9999967430065076,3.256468454790606e-06,2017-12-31
2018-12-31,1.6451629258764252e-07,0.9990049299024796,0.00099490558122797,2018-12-31
2019-01-31,3.278881030944644e-09,0.9998564343114158,0.00014356240970322845,2018-12-31
2019-02-28,1.0556767870229906e-09,0.9999770071499912,2.2991794332048986e-05,2018-12-31
2019-03-31,5.638699670178865e-10,0.9997861685853539,0.00021383085077611254,2018-12-31
2019-04-30,1.1667240910290804e-09,0.9998549059436774,0.00014509288959841087,2018-12-31
2019-05-31,7.673697179740501e-07,0.9781799765111922,0.02181925611908985,2018-12-31
2019-06-30,2.5633690381372657e-07,0.9807915488530248,0.019208194810071334,2018-12-31
2019-07-31,1.6495669263873045e-07,0.9666069058239308,0.03339292921937656,2018-12-31
2019-08-31,3.366990240083747e-05,0.17328006054073494,0.8266862695568641,2018-12-31
2019-09-30,1.2348451861062783e-06,0.006587066788313178,0.9934116983665008,2018-12-31
2019-10-31,1.2908498380282789e-08,0.004359670468239039,0.9956403166232626,2018-12-31
2019-11-30,8.79996372202435e-09,0.04440668042169696,0.9555933107783394,2018-12-31
2019-12-31,6.521624603084779e-11,0.024902567870062092,0.9750974320647217,2019-12-31
2020-01-31,4.324718817775123e-10,3.647848257354434e-05,0.9999635210849547,2019-12-31
2020-02-29,5.11740887777145e-10,1.7506983547438902e-10,0.9999999993131893,2019-12-31
2020-03-31,3.650074305661624e-08,2.045394472559808e-17,0.9999999634992569,2019-12-31
2020-04-30,0.012147315810313735,1.1363156796108242e-21,0.9878526841896863,2019-12-31
2020-05-31,1.0,5.124440234321004e-279,1.00107705081347e-172,2019-12-31
2020-06-30,1.0,3.496216375681241e-236,2.9835772851723646e-119,2019-12-31
2020-07-31,1.0,1.3790146326937444e-149,1.446358786039121e-64,2019-12-31
2020-08-31,1.0,4.7141423796846914e-119,1.7700226283294012e-48,2019-12-31
2020-09-30,1.0,1.8182600999740246e-89,1.58916186086685e-28,2019-12-31
2020-10-31,1.0,1.001531163718121e-73,4.99723375062689e-26,2019-12-31
2020-11-30,0.999999999999951,4.450593194707119e-51,4.891560640456634e-14,2019-12-31
2020-12-31,0.9999999999999936,1.048969067582531e-41,6.536415914999663e-15,2020-12-31
2021-01-31,0.9999999999999976,2.904272660753762e-38,2.384241395487247e-15,2020-12-31
2021-02-28,0.999999999999992,3.2254009694766976e-32,8.009877734659948e-15,2020-12-31
2021-03-31,1.0,4.715673609011263e-36,2.4229751401242957e-24,2020-12-31
2021-04-30,1.0,1.861969508669553e-34,2.634330027798572e-17,2020-12-31
2021-05-31,1.0,2.2137532059482636e-89,7.42952908808502e-51,2020-12-31
2021-06-30,1.0,1.7100957979625667e-78,7.377646147336466e-35,2020-12-31
2021-07-31,1.0,6.736278689844854e-48,5.425849641666477e-17,2020-12-31
2021-08-31,0.9999999999138325,1.2715781945633736e-27,8.616752026765664e-11,2020-12-31
2021-09-30,0.9999996548569268,1.625253296158586e-14,3.451430569115803e-07,2020-12-31
2021-10-31,0.999990946777612,5.893801729761733e-09,9.047328586251495e-06,2020-12-31
2021-11-30,0.9997291562163687,5.506450662550811e-07,0.00027029313856505587,2020-12-31
2021-12-31,0.9999915677631961,1.4258758578541298e-06,7.00636094606197e-06,2021-12-31
2022-01-31,0.9999990813834158,8.361693480393412e-08,8.349996494074703e-07,2021-12-31
2022-02-28,0.9999877714710411,1.3239339212706921e-08,1.2215289619665616e-05,2021-12-31
2022-03-31,0.9999920215478757,4.997005578686966e-06,2.9814465455457096e-06,2021-12-31
2022-04-30,0.9999999044446716,9.521839514309248e-08,3.369332834093385e-10,2021-12-31
2022-05-31,0.9999998732242334,7.475669000469841e-08,5.20190765660959e-08,2021-12-31
2022-06-30,0.999999791410026,1.782632156188556e-07,3.032675836419284e-08,2021-12-31
2022-07-31,0.9999813085791082,1.847109986709638e-05,2.203210248936432e-07,2021-12-31
2022-08-31,0.9987675129933477,0.0012322813857493396,2.0562090294639804e-07,2021-12-31
2022-09-30,0.9906319829731389,0.009367200090883503,8.169359776940124e-07,2021-12-31
2022-10-31,0.5928167258984725,0.4071818064268323,1.4676746951340296e-06,2021-12-31
2022-11-30,2.928564890667503e-05,0.9999707117816605,2.5694327274753284e-09,2021-12-31
2022-12-31,7.268965202946986e-21,1.2980329326460767e-08,0.9999999870196707,2022-12-31
2023-01-31,3.5258753886886874e-17,1.0075800811438248e-08,0.9999999899241991,2022-12-31
2023-02-28,4.915703285864182e-19,2.6117295753809035e-10,0.999999999738827,2022-12-31
2023-03-31,6.549241155585132e-14,4.567940772411402e-09,0.9999999954319937,2022-12-31
2023-04-30,1.1963886443521824e-12,4.1825105356763995e-09,0.9999999958162931,2022-12-31
2023-05-31,3.5907171413362494e-13,4.8012185461729884e-11,0.9999999999516287,2022-12-31
2023-06-30,4.599793210445929e-15,6.53108357860876e-11,0.9999999999346846,2022-12-31
2023-07-31,2.773341260662229e-17,7.522391536867401e-10,0.9999999992477607,2022-12-31
2023-08-31,4.652175095006006e-17,8.338510280118159e-10,0.9999999991661489,2022-12-31
