date,p0,p1,refit_date
2004-12-31,0.9999999999999999,9.660284562674259e-17,2004-12-31
2005-01-31,0.9999999999999998,2.0822246635113935e-16,2004-12-31
2005-02-28,0.9999999999999919,8.091817705968958e-15,2004-12-31
2005-03-31,0.9999999999862542,1.3745788486446642e-11,2004-12-31
2005-04-30,0.9999999884905918,1.1509408281955462e-08,2004-12-31
2005-05-31,0.9999999975656497,2.4343502196746923e-09,2004-12-31
2005-06-30,0.9999999858724324,1.4127567485811864e-08,2004-12-31
2005-07-31,0.9999999989731396,1.0268603567950958e-09,2004-12-31
2005-08-31,0.9999999995974296,4.0257042275261605e-10,2004-12-31
2005-09-30,0.9999999976003747,2.3996253422718187e-09,2004-12-31
2005-10-31,0.9999999938723635,6.127636458144326e-09,2004-12-31
2005-11-30,0.9999999999139987,8.600124787204131e-11,2004-12-31
2005-12-31,0.9999999731368987,2.6863101253276082e-08,2005-12-31
2006-01-31,0.9999999784941835,2.1505816566699282e-08,2005-12-31
2006-02-28,0.9999900467060632,9.953293936867082e-06,2005-12-31
2006-03-31,0.999991403142007,8.596857993070954e-06,2005-12-31
2006-04-30,0.9999935441032721,6.455896727900059e-06,2005-12-31
2006-05-31,0.19344113126337897,0.806558868736621,2005-12-31
2006-06-30,0.8966747889841206,0.10332521101587946,2005-12-31
2006-07-31,0.8429247368701801,0.1570752631298199,2005-12-31
2006-08-31,0.9700943504982216,0.02990564950177845,2005-12-31
2006-09-30,0.9227705378852887,0.07722946211471113,2005-12-31
2006-10-31,0.02196848040172891,0.9780315195982711,2005-12-31
2006-11-30,0.07559871239157549,0.9244012876084245,2005-12-31
2006-12-31,1.0,2.3270576244944368e-45,2006-12-31
2007-01-31,1.0,3.7051794101369935e-42,2006-12-31
2007-02-28,1.0,1.590493359962933e-39,2006-12-31
2007-03-31,1.0,1.1963542318527516e-38,2006-12-31
2007-04-30,1.0,1.5039839962193365e-39,2006-12-31
2007-05-31,1.0,1.1919003040128588e-40,2006-12-31
2007-06-30,1.0,4.352002350536385e-40,2006-12-31
2007-07-31,1.0,2.3495447658679587e-37,2006-12-31
2007-08-31,1.0,4.848296681460915e-38,2006-12-31
2007-09-30,1.0,3.854423291147947e-40,2006-12-31
2007-10-31,1.0,2.216308427999554e-39,2006-12-31
2007-11-30,1.0,1.2862588697505554e-41,2006-12-31
2007-12-31,1.0,1.0395456633592859e-30,2007-12-31
2008-01-31,1.0,1.7677959282176272e-33,2007-12-31
2008-02-29,1.0,2.4005740011067108e-36,2007-12-31
2008-03-31,1.0,6.52720439790666e-35,2007-12-31
2008-04-30,1.0,4.22831213867811e-32,2007-12-31
2008-05-31,1.0,1.7138267342680546e-29,2007-12-31
2008-06-30,1.0,9.619051073808915e-30,2007-12-31
2008-07-31,1.0,1.203661141640864e-32,2007-12-31
2008-08-31,1.0,1.7406132532179495e-35,2007-12-31
2008-09-30,1.0,1.9602979928812194e-32,2007-12-31
2008-10-31,1.0,6.498193485545951e-31,2007-12-31
2008-11-30,1.0,5.126182962778539e-28,2007-12-31
2008-12-31,1.0,8.698522097251358e-47,2008-12-31
2009-01-31,1.0,1.6048484693565677e-57,2008-12-31
2009-02-28,1.0,5.675218405428755e-54,2008-12-31
2009-03-31,1.0,1.1148259559355234e-45,2008-12-31
2009-04-30,1.0,2.6442192236018545e-47,2008-12-31
2009-05-31,1.0,9.239678493091628e-46,2008-12-31
2009-06-30,1.0,2.248085118648426e-47,2008-12-31
2009-07-31,1.0,3.921181361049119e-44,2008-12-31
2009-08-31,1.0,3.907658716305684e-42,2008-12-31
2009-09-30,1.0,3.0231831791433636e-38,2008-12-31
2009-10-31,1.0,1.2037887677865361e-35,2008-12-31
2009-11-30,1.0,1.1707569045749256e-35,2008-12-31
2009-12-31,1.0,7.584467214408057e-31,2009-12-31
2010-01-31,1.0,5.281204697041076e-29,2009-12-31
2010-02-28,1.0,2.7788541309408644e-28,2009-12-31
2010-03-31,1.0,2.386193099948771e-27,2009-12-31
2010-04-30,1.0,2.1033387327570533e-25,2009-12-31
2010-05-31,1.0,2.35461952148489e-20,2009-12-31
2010-06-30,1.0,5.699976378544051e-20,2009-12-31
2010-07-31,1.0,7.079587993042822e-19,2009-12-31
2010-08-31,1.0,2.2187591949066263e-17,2009-12-31
2010-09-30,1.0,2.523310097611364e-19,2009-12-31
2010-10-31,1.0,5.715664587799482e-19,2009-12-31
2010-11-30,1.0,1.5397605303996564e-18,2009-12-31
2010-12-31,1.202923415838685e-06,0.9999987970765842,2010-12-31
2011-01-31,4.319791615402493e-05,0.999956802083846,2010-12-31
2011-02-28,0.00040781927265345566,0.9995921807273465,2010-12-31
2011-03-31,0.00024759020009990584,0.9997524097999001,2010-12-31
2011-04-30,0.002414360774582305,0.9975856392254177,2010-12-31
2011-05-31,0.7101645679688766,0.2898354320311234,2010-12-31
2011-06-30,0.9997477718080944,0.00025222819190565376,2010-12-31
2011-07-31,0.9999488133553615,5.1186644638622756e-05,2010-12-31
2011-08-31,0.9997293786640371,0.0002706213359628326,2010-12-31
2011-09-30,0.67153658178129,0.32846341821870995,2010-12-31
2011-10-31,0.9219365375927324,0.07806346240726754,2010-12-31
2011-11-30,0.8396855215593138,0.1603144784406861,2010-12-31
2011-12-31,0.999980169007231,1.983099276901855e-05,2011-12-31
2012-01-31,0.9995239512158305,0.00047604878416949694,2011-12-31
2012-02-29,0.9994249344125995,0.0005750655874005339,2011-12-31
2012-03-31,0.9963481392869654,0.0036518607130345705,2011-12-31
2012-04-30,0.9862388018773276,0.01376119812267241,2011-12-31
2012-05-31,0.9928906453394734,0.007109354660526647,2011-12-31
2012-06-30,0.8731992157018066,0.12680078429819336,2011-12-31
2012-07-31,0.8320814158071516,0.1679185841928484,2011-12-31
2012-08-31,0.919640788954484,0.08035921104551601,2011-12-31
2012-09-30,0.9505028857371397,0.04949711426286028,2011-12-31
