date,p0,p1,p2,p3,refit_date
2004-12-31,0.0,0.0,1.0,0.0,2004-12-31
2005-01-31,0.0,0.0,1.0,0.0,2004-12-31
2005-02-28,0.0,0.0,1.0,0.0,2004-12-31
2005-03-31,0.0,0.0,1.0,0.0,2004-12-31
2005-04-30,0.0,0.0,1.0,0.0,2004-12-31
2005-05-31,0.0,0.0,1.0,0.0,2004-12-31
2005-06-30,0.0,0.0,1.0,0.0,2004-12-31
2005-07-31,0.0,0.0,1.0,0.0,2004-12-31
2005-08-31,0.0,0.0,1.0,0.0,2004-12-31
2005-09-30,0.0,0.0,1.0,0.0,2004-12-31
2005-10-31,0.0,0.0,1.0,0.0,2004-12-31
2005-11-30,0.0,0.0,1.0,0.0,2004-12-31
2005-12-31,1.3687438359216843e-27,5.327516744494918e-25,1.2658522271628197e-41,1.0,2005-12-31
2006-01-31,2.740314348460782e-18,1.7173998829563854e-24,4.885730407083235e-48,1.0,2005-12-31
2006-02-28,4.335685274982313e-13,2.9419808366474525e-20,6.119466506343164e-45,0.9999999999995663,2005-12-31
2006-03-31,7.441854506073551e-16,4.085086370657882e-15,1.3717788928166264e-36,0.9999999999999952,2005-12-31
2006-04-30,3.281089814466102e-24,6.6568756753975796e-12,1.1943015444885706e-34,0.9999999999933431,2005-12-31
2006-05-31,6.561967120764514e-25,4.427775975615452e-06,1.2989309402548383e-40,0.9999955722240244,2005-12-31
2006-06-30,5.9835934299891005e-27,2.0565013180217658e-10,1.4120565521484583e-34,0.9999999997943498,2005-12-31
2006-07-31,4.212278444151399e-22,7.458768427113587e-08,5.405825418985293e-35,0.9999999254123157,2005-12-31
2006-08-31,7.996246593435998e-11,0.0002790735477712743,8.697994557889145e-24,0.9997209263722663,2005-12-31
2006-09-30,3.395043701863784e-05,0.018830948530596185,8.115836848271624e-18,0.9811351010323852,2005-12-31
2006-10-31,0.9992023999388352,0.000796339691092691,1.9134669751368715e-20,1.2603700720746836e-06,2005-12-31
2006-11-30,0.22837852396643163,0.0013633421313830802,1.43239908160173e-26,0.7702581339021853,2005-12-31
2006-12-31,5.101312910545672e-247,1.5491349829277137e-147,1.2096487387231752e-60,1.0,2006-12-31
2007-01-31,9.542302735885441e-236,3.8645688374278035e-141,1.7157347361043812e-47,1.0,2006-12-31
2007-02-28,9.192156271523517e-235,1.0438892787828924e-133,2.4125631568672932e-46,1.0,2006-12-31
2007-03-31,4.716520926471703e-224,5.553672042943099e-135,3.0720116553977033e-41,1.0,2006-12-31
2007-04-30,2.6349200137374768e-222,4.017427510499936e-129,2.8506903797156136e-35,1.0,2006-12-31
2007-05-31,1.020229434842987e-213,3.1621382248490997e-122,5.928776022661212e-32,1.0,2006-12-31
2007-06-30,3.145576040925497e-206,3.2368993739290285e-110,4.168635675424556e-25,1.0,2006-12-31
2007-07-31,2.304837902804089e-193,1.680269494842864e-89,7.818370359683575e-20,1.0,2006-12-31
2007-08-31,3.353229783965321e-176,3.3865732261077227e-71,2.4734342998525023e-13,0.9999999999997528,2006-12-31
2007-09-30,2.7745456109481787e-161,6.058581976026128e-62,9.366809808111777e-12,0.9999999999906333,2006-12-31
2007-10-31,3.7639484629029947e-159,8.560553582670925e-57,1.1020962932641667e-16,0.9999999999999999,2006-12-31
2007-11-30,2.2123910224826045e-157,1.9614071554229133e-53,3.284226342941529e-08,0.9999999671577365,2006-12-31
2007-12-31,1.343946453261847e-252,3.343641866416784e-25,0.9999992984035236,7.015964763053843e-07,2007-12-31
2008-01-31,6.219130240324715e-262,3.831874190244124e-34,0.9999999999927094,7.29058469418298e-12,2007-12-31
2008-02-29,1.4150966444709057e-274,9.589174283695641e-55,0.9999999998508209,1.4917906710435778e-10,2007-12-31
