date,p0,p1,p2,p3
1991-01-31,0.0,0.0,7.4e-323,1.0
1991-02-28,1.1091030462057647e-235,1.3706226791993955e-97,2.6203502344052273e-12,0.9999999999972715
1991-03-31,1.3706226791993955e-97,7.649609375750273e-99,9.01437609963652e-16,1.0
1991-04-30,7.649609375746796e-99,3.890554088017556e-98,1.295349561587431e-16,1.0
1991-05-31,3.890554088017556e-98,1.9120785881337915e-100,2.4466076885952233e-18,1.0
1991-06-30,1.912078588132922e-100,4.505505800702567e-99,1.1349770511980492e-18,1.0
1991-07-31,4.505505800704616e-99,1.9258375922021626e-92,1.4069531233652417e-21,1.0
1991-08-31,1.9258375922021626e-92,1.637429285510275e-96,5.726684311328593e-21,1.0
1991-09-30,1.637429285510275e-96,9.999002310707026e-94,1.1339792345600962e-18,1.0
1991-10-31,9.999002309852187e-94,2.0622743632983847e-87,1.1146497403973408e-25,1.0
1991-11-30,2.0622743632936953e-87,1.8464237919833278e-81,5.686194889519013e-29,1.0
1991-12-31,1.8464237919833278e-81,1.5534862899994859e-82,8.694592303365096e-24,1.0
1992-01-31,1.5534862896038775e-82,3.4282493585896707e-81,1.2165614383931908e-33,1.0
1992-02-29,3.4282493585912297e-81,1.351840383758874e-92,1.7466536535538941e-28,1.0
1992-03-31,1.351840383754571e-92,9.184115719239453e-89,1.8291947978622154e-24,1.0
1992-04-30,9.184115719147572e-89,5.9547237596433795e-87,2.8651176396000337e-30,1.0
1992-05-31,5.95472375957839e-87,3.3117782460561504e-84,1.660028039695726e-28,1.0
1992-06-30,3.3117782460425964e-84,7.968143838190289e-82,1.6545857328044873e-31,1.0
1992-07-31,7.968143838190289e-82,9.886422755396564e-85,5.9729657200297785e-31,1.0
1992-08-31,9.885932103750744e-85,1.1776976018525318e-73,1.9189201716431555e-34,1.0
1992-09-30,1.1776976018519963e-73,4.808993779687039e-76,6.003983259500728e-41,1.0
1992-10-31,4.808993779684852e-76,2.9267643784216504e-79,7.866010615194233e-40,1.0
1992-11-30,2.926764215912752e-79,7.304827533111972e-77,1.0794281103429898e-34,1.0
1992-12-31,7.304827533111972e-77,3.2074609149282964e-76,1.4050690309862194e-37,1.0
1993-01-31,3.207460914929755e-76,2.6077388721174993e-78,1.142661183258451e-36,1.0
1993-02-28,2.6077388721163132e-78,5.5296919509965255e-83,3.766198195549945e-33,1.0
1993-03-31,5.5296919509965255e-83,6.530668212227044e-75,2.2464608184283978e-30,1.0
1993-04-30,6.530668212227044e-75,2.696223428050499e-72,7.20040332737438e-34,1.0
1993-05-31,2.696223428050499e-72,1.955271453004965e-60,1.5223923999281716e-25,1.0
1993-06-30,1.955271453004965e-60,1.2999131203893436e-69,2.1952539021578328e-25,1.0
1993-07-31,1.3024144857697424e-69,2.5881863675124427e-58,3.2684730278746035e-25,1.0
1993-08-31,2.5881863675136196e-58,4.047104978699318e-59,4.7062435788803363e-23,1.0
1993-09-30,4.047147918792393e-59,1.0667915769251687e-55,9.043439491963602e-21,1.0
1993-10-31,1.0667915769251687e-55,1.9823961027241706e-62,1.2681318068843901e-17,1.0
1993-11-30,1.9823961057117062e-62,6.3229823391511425e-52,6.71785264213396e-20,1.0
1993-12-31,6.322982339027502e-52,9.366561870105693e-48,2.6839187218117214e-20,1.0
1994-01-31,9.366561870105693e-48,1.644390155237417e-53,5.857757361599043e-20,1.0
1994-02-28,1.6443901552456427e-53,1.6927933784702708e-50,4.614501327994639e-18,1.0
1994-03-31,1.6927871306422747e-50,1.643192667487153e-50,4.848856145867854e-19,1.0
1994-04-30,1.6431926666674333e-50,1.881562099868715e-53,8.514341369516501e-17,1.0
1994-05-31,1.881562099868715e-53,1.0262110839185501e-57,1.0784802633155904e-13,1.0
1994-06-30,1.0262046939860706e-57,5.518955166269234e-52,1.690083719678623e-12,0.999999999998181
1994-07-31,5.51895516500433e-52,1.761727187888914e-50,3.678616148729429e-12,0.999999999996362
1994-08-31,1.761727187888914e-50,4.086422968983462e-62,5.043817152515128e-12,0.9999999999949978
1994-09-30,4.086422968983462e-62,1.2271245814050891e-68,2.2266978130188363e-12,0.9999999999977263
1994-10-31,1.2271245814050891e-68,7.10166917849851e-79,5.620115405166941e-12,0.999999999994543
1994-11-30,7.10166917849851e-79,2.8733570602829034e-75,3.919166170423194e-08,0.9999999608085098
