date,p0,p1,p2
1991-01-31,7.8376575882893e-311,1.0,1.7349939244311421e-277
1991-02-28,1.0042284839372515e-08,0.9999999899578143,5.260377525960806e-34
1991-03-31,5.500095481953767e-10,0.9999999994497557,3.157752245746165e-14
1991-04-30,2.8285786815485043e-12,0.9999999999972715,5.510207245648765e-16
1991-05-31,3.1584731168943014e-12,0.9999999999968168,7.57030734779995e-18
1991-06-30,1.7902544825129743e-12,0.999999999998181,3.2451730683583047e-17
1991-07-31,5.395808504158761e-10,0.9999999994602149,1.6575559835129816e-15
1991-08-31,1.117532190487709e-08,0.9999999888241291,3.872566204190236e-13
1991-09-30,4.486784790321747e-08,0.9999999551323536,1.0942186551494563e-14
1991-10-31,4.139542212622222e-08,0.9999999586043495,1.0407736306877463e-13
1991-11-30,1.5764895360366004e-08,0.9999999842307262,4.203683238759732e-12
1991-12-31,5.971819523725801e-07,0.9999994028177717,1.88497233651335e-13
1992-01-31,2.095649051890514e-05,0.9999790006403881,4.286930810752342e-08
1992-02-29,1.294388831867906e-05,0.9999797396359719,7.3164757719396345e-06
1992-03-31,3.153726580056952e-05,0.9999617999117161,6.662822262019748e-06
1992-04-30,5.465828456173662e-05,0.999942286176287,3.0555393090864465e-06
1992-05-31,5.7765581245242956e-05,0.9999418481339927,3.862848773608488e-07
1992-06-30,1.0510921233706548e-05,0.9999894607781832,2.830069287131987e-08
1992-07-31,1.3033222844755964e-05,0.9999869629072605,3.869708759865435e-09
1992-08-31,5.692329070165519e-07,0.9999994307469734,2.0126742292972114e-11
1992-09-30,4.298834387133953e-05,0.9999570113477523,3.082303865045446e-10
1992-10-31,0.003053298550053988,0.9969459387581876,7.626919503890552e-07
1992-11-30,0.3922575710511772,0.6077371576805318,5.271268131838731e-06
1992-12-31,0.8938399936307885,0.10355260280640721,0.0026074035626545864
1993-01-31,0.9961346944444001,0.0012701683924084411,0.0025951371633283447
1993-02-28,0.9996105012530448,2.0788647296409193e-05,0.0003687100996774668
1993-03-31,0.9998843935327143,5.719939945611747e-06,0.00010988652752182783
1993-04-30,0.9998202782191545,1.7473185814295245e-05,0.0001622485951193883
1993-05-31,0.9994680201630175,2.5236003201259973e-05,0.0005067438336981524
1993-06-30,0.9999603737712917,2.04601564022182e-07,3.9421627169203026e-05
1993-07-31,0.9999580761862319,3.038129340439849e-07,4.162000074703891e-05
1993-08-31,0.9999941474078067,4.8850504858085965e-08,5.8037417459474455e-06
1993-09-30,0.9999695532775473,2.639538228897468e-07,3.0182768444527872e-05
1993-10-31,0.9999261498928054,1.7466752597762548e-07,7.36754394588986e-05
1993-11-30,0.9980746973863882,9.648837732305898e-06,0.0019156537759418002
1993-12-31,0.9931736879681791,5.533939790849514e-06,0.00682077809185702
1994-01-31,0.9375101262536409,4.564545831260774e-07,0.06248941729158649
1994-02-28,0.015404685285957362,3.339073543301973e-09,0.9845953113748668
1994-03-31,1.8717423710506345e-05,8.015459356247775e-10,0.999981281774691
1994-04-30,1.6640307026418026e-05,1.651056884328069e-09,0.999983358042081
1994-05-31,0.00021031694330260318,7.675783443281859e-12,0.9997896830490207
1994-06-30,5.742929174551024e-07,2.3606198633332076e-12,0.9999994257047377
1994-07-31,3.231177529238522e-06,4.798086356801545e-13,0.9999967688220202
1994-08-31,1.903603946581945e-07,2.070158131966929e-16,0.9999998096395938
1994-09-30,1.0222948724568678e-09,3.866775195546096e-18,0.999999998977728
1994-10-31,2.051687183043067e-10,7.760562013925854e-15,0.999999999794909
1994-11-30,1.14695992182629e-06,9.638723036527447e-13,0.9999988530391631
1994-12-31,2.0738275372700652e-05,1.260616014656341e-13,0.999979261724493
1995-01-31,7.225462467326709e-06,9.66928191786237e-13,0.9999927745363506
1995-02-28,3.270489493473414e-05,2.5368917884623044e-10,0.9999672948516003
1995-03-31,4.93446247779558e-05,3.2559876980445654e-09,0.9999506521192568
