refit_date,agrees,assignment
2005-12-31,False,0 2 1
2006-12-31,False,1 0 2
2007-12-31,True,0 1 2
2008-12-31,True,0 1 2
2009-12-31,False,0 2 1
2010-12-31,True,0 1 2
2011-12-31,True,0 1 2
2012-12-31,False,1 2 0
2013-12-31,False,2 0 1
2014-12-31,True,0 1 2
2015-12-31,False,1 0 2
2016-12-31,False,2 1 0
2017-12-31,True,0 1 2
2018-12-31,False,2 0 1
2019-12-31,False,1 2 0
2020-12-31,True,0 1 2
2021-12-31,False,1 0 2
2022-12-31,False,1 0 2
2023-12-31,False,2 0 1
2024-12-31,True,0 1 2
2025-12-31,False,0 2 1
