source,factor,state,n_replications,n_nan,share_nan
hmm_filtered,Mkt-RF,0,2000,0,0.0
hmm_filtered,Mkt-RF,1,2000,0,0.0
hmm_filtered,Mkt-RF,2,2000,0,0.0
hmm_filtered,SMB,0,2000,0,0.0
hmm_filtered,SMB,1,2000,0,0.0
hmm_filtered,SMB,2,2000,0,0.0
hmm_filtered,HML,0,2000,0,0.0
hmm_filtered,HML,1,2000,0,0.0
hmm_filtered,HML,2,2000,0,0.0
hmm_filtered,RMW,0,2000,0,0.0
hmm_filtered,RMW,1,2000,0,0.0
hmm_filtered,RMW,2,2000,0,0.0
hmm_filtered,CMA,0,2000,0,0.0
hmm_filtered,CMA,1,2000,0,0.0
hmm_filtered,CMA,2,2000,0,0.0
hmm_filtered,UMD,0,2000,0,0.0
hmm_filtered,UMD,1,2000,0,0.0
hmm_filtered,UMD,2,2000,0,0.0
hmm_smoothed,Mkt-RF,0,2000,0,0.0
hmm_smoothed,Mkt-RF,1,2000,0,0.0
hmm_smoothed,Mkt-RF,2,2000,0,0.0
hmm_smoothed,SMB,0,2000,0,0.0
hmm_smoothed,SMB,1,2000,0,0.0
hmm_smoothed,SMB,2,2000,0,0.0
hmm_smoothed,HML,0,2000,0,0.0
hmm_smoothed,HML,1,2000,0,0.0
hmm_smoothed,HML,2,2000,0,0.0
hmm_smoothed,RMW,0,2000,0,0.0
hmm_smoothed,RMW,1,2000,0,0.0
hmm_smoothed,RMW,2,2000,0,0.0
hmm_smoothed,CMA,0,2000,0,0.0
hmm_smoothed,CMA,1,2000,0,0.0
hmm_smoothed,CMA,2,2000,0,0.0
hmm_smoothed,UMD,0,2000,0,0.0
hmm_smoothed,UMD,1,2000,0,0.0
hmm_smoothed,UMD,2,2000,0,0.0
gmm_filtered,Mkt-RF,0,2000,0,0.0
gmm_filtered,Mkt-RF,1,2000,0,0.0
gmm_filtered,Mkt-RF,2,2000,1,0.0005
gmm_filtered,SMB,0,2000,0,0.0
gmm_filtered,SMB,1,2000,0,0.0
gmm_filtered,SMB,2,2000,1,0.0005
gmm_filtered,HML,0,2000,0,0.0
gmm_filtered,HML,1,2000,0,0.0
gmm_filtered,HML,2,2000,1,0.0005
gmm_filtered,RMW,0,2000,0,0.0
gmm_filtered,RMW,1,2000,0,0.0
gmm_filtered,RMW,2,2000,1,0.0005
gmm_filtered,CMA,0,2000,0,0.0
gmm_filtered,CMA,1,2000,0,0.0
gmm_filtered,CMA,2,2000,1,0.0005
gmm_filtered,UMD,0,2000,0,0.0
gmm_filtered,UMD,1,2000,0,0.0
gmm_filtered,UMD,2,2000,1,0.0005
rules,Mkt-RF,0,2000,0,0.0
rules,Mkt-RF,1,2000,0,0.0
rules,Mkt-RF,2,2000,0,0.0
rules,Mkt-RF,3,2000,0,0.0
rules,SMB,0,2000,0,0.0
rules,SMB,1,2000,0,0.0
rules,SMB,2,2000,0,0.0
rules,SMB,3,2000,0,0.0
rules,HML,0,2000,0,0.0
rules,HML,1,2000,0,0.0
rules,HML,2,2000,0,0.0
rules,HML,3,2000,0,0.0
rules,RMW,0,2000,0,0.0
rules,RMW,1,2000,0,0.0
rules,RMW,2,2000,0,0.0
rules,RMW,3,2000,0,0.0
rules,CMA,0,2000,0,0.0
rules,CMA,1,2000,0,0.0
rules,CMA,2,2000,0,0.0
rules,CMA,3,2000,0,0.0
rules,UMD,0,2000,0,0.0
rules,UMD,1,2000,0,0.0
rules,UMD,2,2000,0,0.0
rules,UMD,3,2000,0,0.0
