factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,0.1235728978458453,-0.9320942988739604,1.019906163509928,False,95,144
Mkt-RF,0,2,1.7924487485756457,0.47561286218553567,3.105939196853853,True,95,19
Mkt-RF,1,2,1.6688758507298005,0.5572601130921587,2.957805013028805,True,144,19
SMB,0,1,-0.744214165872932,-1.4137976079585217,-0.049759028593468084,True,95,144
SMB,0,2,-0.13461437172020463,-1.240502175794301,1.1302959152439198,False,95,19
SMB,1,2,0.6095997941527274,-0.4415534733228726,1.7700212459016729,False,144,19
HML,0,1,-0.06005342162440941,-0.7445028069874993,0.623460807852894,False,95,144
HML,0,2,-0.47495522279782254,-2.129906813471996,1.118217793286709,False,95,19
HML,1,2,-0.41490180117341313,-2.085593144250138,1.1972868830315435,False,144,19
RMW,0,1,-0.7126261154788022,-1.695283862569511,0.2646488507976202,False,95,144
RMW,0,2,-0.18439413430477247,-1.7700730183697897,1.1406010526818149,False,95,19
RMW,1,2,0.5282319811740297,-1.071633563180189,2.0644156411070855,False,144,19
CMA,0,1,0.1602239046560988,-0.6219521718849327,0.9207427974365818,False,95,144
CMA,0,2,0.25598975275715413,-1.3319807192708264,1.7015219711959715,False,95,19
CMA,1,2,0.09576584810105536,-1.3973164509430105,1.4371952064646003,False,144,19
UMD,0,1,-0.4755146989165171,-1.3161004203215374,0.5430243417561581,False,95,144
UMD,0,2,-1.2005269863448833,-2.4226512720738023,0.5097053698028828,False,95,19
UMD,1,2,-0.7250122874283662,-2.0304928558897615,1.0867003438875489,False,144,19
