factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,1.2383061636781436,0.35036777602200836,2.1792522526419944,True,73,38
Mkt-RF,0,2,0.540879053796102,-0.28455192441780514,1.397612327238454,False,73,147
Mkt-RF,1,2,-0.6974271098820417,-1.7100252172715793,0.20303682298988351,False,38,147
SMB,0,1,0.10167869082416103,-0.8335880185386347,1.1477572851127908,False,73,38
SMB,0,2,0.7729278062143952,-0.06950334578702012,1.6221466444810935,False,73,147
SMB,1,2,0.671249115390234,-0.23143803751951564,1.4238340965081067,False,38,147
HML,0,1,0.9488000969216837,-0.09348853262132314,2.382677616333829,False,73,38
HML,0,2,0.9017468060199731,0.1461816303000463,1.6662621453028097,True,73,147
HML,1,2,-0.04705329090171048,-1.3198114650849242,0.8344267215116185,False,38,147
RMW,0,1,0.5421240491303675,-0.8439289118350671,1.833899576638224,False,73,38
RMW,0,2,0.9082863682593134,0.14317965366614166,1.587191753720238,True,73,147
RMW,1,2,0.366162319128946,-0.8338759519984544,1.6485261660205281,False,38,147
CMA,0,1,-0.24786776724878448,-1.4332370946703592,1.0713724969315008,False,73,38
CMA,0,2,0.30049886405869164,-0.37659919997752145,0.9791621329893696,False,73,147
CMA,1,2,0.5483666313074761,-0.7422897776306197,1.6311829894404144,False,38,147
UMD,0,1,-0.5510751583554591,-1.5471762080124718,0.6127322388714839,False,73,38
UMD,0,2,-0.7050328920633505,-1.4832809891796583,0.05397039984216275,False,73,147
UMD,1,2,-0.15395773370789145,-1.1707289727240084,0.7875972868488729,False,38,147
