factor,state,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_false,n_true
Mkt-RF,0,1.5060491495731019,-1.8982947400530614,2.934918465475887,False,22,69
Mkt-RF,1,0.4501100933041646,-1.3106358607996114,6.279400514072498,False,49,12
Mkt-RF,2,0.11526582191065338,-2.0993933614393545,1.8389368232090126,False,23,83
SMB,0,-0.399514265108328,-1.541546928454669,1.159995599287722,False,22,69
SMB,1,0.5886529354680442,-1.3223671243279749,2.727094611824802,False,49,12
SMB,2,-0.26368967103873386,-2.315604687973737,1.482480122449082,False,23,83
HML,0,0.033568992367723316,-1.481661413343099,2.5696588866685435,False,22,69
HML,1,1.911314778353574,0.2421951108456168,4.345503192587348,True,49,12
HML,2,-1.77686379226689,-3.2784724153344054,-0.5794324838479373,True,23,83
RMW,0,-2.9654944306299953,-5.865134757439686,-2.139765910345998,True,22,69
RMW,1,0.8229658666614988,-2.61333704786417,2.4244367204368635,False,49,12
RMW,2,-1.3835884593637457,-2.686923906283109,-0.1913726624604249,True,23,83
CMA,0,-1.0174233496078373,-2.7207284603142243,0.2523279615209741,False,22,69
CMA,1,2.5655159116055475,1.2079594703181342,3.950816167778942,True,49,12
CMA,2,-1.1364195246892708,-2.6675537007135315,0.44653969493602585,False,23,83
UMD,0,-0.9860357399347013,-2.441869654837788,-0.09970850132896793,True,22,69
UMD,1,-1.1791782261427532,-2.9424188193517233,0.6886336466030826,False,49,12
UMD,2,0.01854858478116722,-2.097845026620046,1.9038732492286834,False,23,83
