factor,state,run_started_on_refit,n,ann_mean,ann_std,sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,False,22,-0.11830909090909093,0.20724165767365563,-0.5708750462486301,-1.7893358880522423,2.9088896684407746,False
Mkt-RF,0,True,69,0.10142608695652174,0.10845690294027585,0.9351741033244717,0.41854228654126396,1.735892008945404,True
Mkt-RF,1,False,49,0.1583265306122449,0.147390644346296,1.0741966107445386,0.49807487238646037,1.8439008965800683,True
Mkt-RF,1,True,12,0.099,0.0649475592654986,1.5243067040487033,-0.009356945291863612,7.348469228349534,False
Mkt-RF,2,False,23,0.11201739130434779,0.18080796267750196,0.6195379320995257,-0.8832384210861607,2.7452475094475037,False
Mkt-RF,2,True,83,0.12562409638554217,0.17096278523340525,0.734803754010179,0.16400622915841417,1.3677532196700617,True
SMB,0,False,22,0.013854545454545465,0.09613477011973359,0.14411586398230267,-1.252521438672549,1.0959626365959576,False
SMB,0,True,69,-0.021530434782608715,0.08430136871524345,-0.25539840112602535,-0.9116613084205851,0.4334032705891429,False
SMB,1,False,49,-0.03935510204081632,0.10811322721091617,-0.36401745703177607,-0.9319057521635504,0.35133753328561396,False
SMB,1,True,12,0.020199999999999996,0.08992346240503137,0.22463547843626813,-1.5074134209555636,2.1582669474814424,False
SMB,2,False,23,0.04497391304347826,0.10937592569907531,0.41118658202001823,-1.2556363654792466,2.384859608490623,False
SMB,2,True,83,0.012289156626506023,0.08331806100037835,0.14749691098128434,-0.4564859710697753,0.7490835850140681,False
HML,0,False,22,-0.05067272727272727,0.1047665121969901,-0.48367294290992996,-2.683271079444433,0.5815138959406142,False
HML,0,True,69,-0.036452173913043465,0.08098612302587492,-0.45010395054220664,-1.301740146716443,0.42751186389523343,False
HML,1,False,49,0.00918367346938776,0.11636899395931048,0.07891856032199537,-0.6538140639563782,0.8998072782950901,False
HML,1,True,12,0.09969999999999998,0.050094628636030605,1.9902333386755693,0.4861109778559851,4.251111899992155,True
HML,2,False,23,0.2312869565217391,0.1760899321077821,1.3134592861343808,0.3383721739960127,2.737277933631824,True
HML,2,True,83,-0.050038554216867474,0.10798029271333648,-0.4634045061325092,-1.1692194881827547,0.21713124610816864,False
RMW,0,False,22,0.1614545454545455,0.050009567915718714,3.228473113917827,2.5980144716455977,6.050684693137049,True
RMW,0,True,69,0.012539130434782608,0.04768116669387403,0.26297868328783164,-0.3190170148408636,0.8572403097238214,False
RMW,1,False,49,-0.007983673469387756,0.10931231749030865,-0.07303544241567807,-0.896517834740305,0.6764786832717624,False
RMW,1,True,12,0.027800000000000005,0.03707010557407042,0.7499304242458208,-2.5882352941176467,2.077494654631247,False
RMW,2,False,23,0.15146086956521743,0.1011198365498754,1.4978353875256933,0.39934676158598215,2.5984240789427284,True
RMW,2,True,83,0.00649156626506024,0.05682048847613912,0.11424692816194765,-0.5688561541623797,0.685015684264003,False
CMA,0,False,22,0.021,0.05101190337278433,0.4116686226455105,-0.6654241977902688,1.7634907849421335,False
CMA,0,True,69,-0.030626086956521748,0.05055856040959371,-0.6057547269623268,-1.3511376207535537,-0.013590407242321379,True
CMA,1,False,49,-0.05226122448979592,0.09516362385976297,-0.5491722821191657,-1.39992177481436,0.15694231152129887,False
CMA,1,True,12,0.07250000000000001,0.035956172816866416,2.0163436294863817,0.9743323512185872,2.991092837946447,True
CMA,2,False,23,0.14024347826086955,0.10493823140813453,1.336438363587651,-0.14877656710789486,2.666554691663161,False
CMA,2,True,83,0.010120481927710843,0.05059764361922211,0.20001883889838018,-0.6669723340433248,0.8894843281517161,False
UMD,0,False,22,0.2483454545454546,0.17323739211259798,1.4335557209498921,0.7980427202185183,2.8695328146448196,True
UMD,0,True,69,0.04528695652173913,0.10119538443625799,0.4475199810151909,-0.07164776980168663,1.11411297810793,False
UMD,1,False,49,0.036293877551020405,0.15154396277338542,0.23949405101207,-0.36256122473963603,0.9889334181101114,False
UMD,1,True,12,-0.0639,0.06800157083747135,-0.9396841751306831,-2.511390379444021,0.9457081085207674,False
UMD,2,False,23,-0.03746086956521738,0.13376660637183388,-0.2800464972632003,-1.8237508316793403,1.7339531648069586,False
UMD,2,True,83,-0.05019759036144579,0.19196172499042316,-0.2614979124820331,-0.8959315582882994,0.6585889656208269,False
