factor,state,gap,gap_p05,gap_p95
Mkt-RF,0,-0.13567022547889937,-1.238004237527936,0.754707060619989
Mkt-RF,1,0.36008365958309296,-0.28428946522295134,1.0260632112102335
Mkt-RF,2,0.037676549747076904,-0.5860746935388053,0.6720526246393926
SMB,0,-0.33916742639753594,-1.0668618714978797,0.35363765149130144
SMB,1,-0.12189900053255598,-0.5547194974475165,0.2977524069963919
SMB,2,0.06691678842021079,-0.38863527264133346,0.45474573526836337
HML,0,-0.23060484787994784,-1.0249846972495487,0.5338486807548496
HML,1,0.0054365088892178726,-0.3800346634428025,0.6230290548449804
HML,2,0.12607050377557785,-0.27489647711785903,0.5994727306096833
RMW,0,-1.0656960018622696,-1.9009992143413899,-0.2949689626712139
RMW,1,0.42998996854401356,-0.3182650656813102,1.2952004269740058
RMW,2,0.2480404849489577,-0.071778937266693,0.7027988446836779
CMA,0,0.30050442838546754,-0.43953876969793493,1.0356907357173624
CMA,1,0.011459260541345218,-0.6625950869488503,0.661643204680669
CMA,2,-0.3249433770300773,-0.7467568057354966,0.12795541098005636
UMD,0,-0.12713401625607712,-0.6548672308822756,0.4825250228732274
UMD,1,-0.036317489338252115,-0.47777478012011965,0.6710448195281533
UMD,2,0.1919266302035679,-0.13468643873804162,0.5150411508467135
