restart,seed,lower_bound,n_iter,converged
0,20260917,-9.394156967708547,28,True
1,20260918,-9.425821299429193,19,True
2,20260919,-9.420612356089705,13,True
3,20260920,-9.485666497005822,30,True
4,20260921,-9.34294404893434,32,True
5,20260922,-9.53388501263495,77,True
6,20260923,-9.777993169687043,39,True
7,20260924,-9.425821299429193,19,True
8,20260925,-9.420616091810395,13,True
9,20260926,-9.342948991312856,31,True
10,20260927,-9.394156967708549,28,True
11,20260928,-9.342941920596054,32,True
12,20260929,-9.342969531926224,42,True
13,20260930,-9.342946142873062,43,True
14,20260931,-9.394156967708547,28,True
15,20260932,-9.342941920596054,32,True
16,20260933,-9.816184731631022,21,True
17,20260934,-9.425896381563078,16,True
18,20260935,-9.342946142873062,43,True
19,20260936,-9.342945084751923,37,True
