restart,seed,loglik,n_iter,converged
0,20260917,-3233.433786765387,38,True
1,20260918,-2795.1106056941776,28,True
2,20260919,-2784.788558798648,63,True
3,20260920,-2960.7703827308046,31,True
4,20260921,-2739.0007783389688,35,True
5,20260922,-2826.27496934824,15,True
6,20260923,-2861.756060199245,16,True
7,20260924,-2891.6393589619893,14,True
8,20260925,-2737.010147511424,44,True
9,20260926,-2920.223735104382,16,True
10,20260927,-2825.3717726792925,35,True
11,20260928,-2847.487504800129,11,True
12,20260929,-2912.2093466095243,14,True
13,20260930,-2843.884966240144,61,True
14,20260931,-2741.5227495709896,40,True
15,20260932,-3157.4126138382917,27,True
16,20260933,-2747.549099491636,32,True
17,20260934,-2998.918459926437,18,True
18,20260935,-2779.4374021912004,62,True
19,20260936,-2817.928519158371,72,True
