restart,seed,loglik,n_iter,converged
0,20260917,-1481.2198455942396,11,True
1,20260918,-1456.7798920570426,35,True
2,20260919,-1456.7798921059139,39,True
3,20260920,-1456.7798914680923,43,True
4,20260921,-1456.7798914662808,36,True
5,20260922,-1468.438266569328,22,True
6,20260923,-1456.7798919658267,40,True
7,20260924,-1400.3348845057421,36,True
8,20260925,-1456.779891536738,44,True
9,20260926,-1477.7420682324714,39,True
10,20260927,-1543.0229799484982,14,True
11,20260928,-1408.0222941486722,18,True
12,20260929,-1468.4381041237123,17,True
13,20260930,-1408.0222941555842,19,True
14,20260931,-1456.7798920001287,45,True
15,20260932,-1382.0208012763767,128,True
16,20260933,-1398.3251863037995,18,True
17,20260934,-1456.7798915058752,32,True
18,20260935,-1455.921985278106,17,True
19,20260936,-1456.7798919587128,35,True
