restart,seed,loglik,n_iter,converged
0,20260917,-3851.147585577039,54,True
1,20260918,-3821.688895033672,28,True
2,20260919,-3974.06743371978,72,True
3,20260920,-3807.6337126742283,27,True
4,20260921,-3985.427344309761,26,True
5,20260922,-3826.8703034346086,26,True
6,20260923,-3788.5881665520196,47,True
7,20260924,-3974.067464621364,43,True
8,20260925,-3868.3678713650006,43,True
9,20260926,-3818.9327823857293,44,True
10,20260927,-3820.3098583150218,30,True
11,20260928,-3966.929381399109,59,True
12,20260929,-3804.8750119961496,25,True
13,20260930,-3916.174196425602,27,True
14,20260931,-3822.6006858676346,39,True
15,20260932,-3946.5282174875474,25,True
16,20260933,-3717.172603298158,83,True
17,20260934,-3725.4495544946676,83,True
18,20260935,-3863.0656345679895,44,True
19,20260936,-3965.897765220912,24,True
