factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,30,0.13932,0.19047700594324615,0.7314268686137961,-0.1695077809636849,-0.3928790248938565,2.431140855310881,False
Mkt-RF,1,96,0.13980000000000004,0.13680694349876282,1.0218779575414185,0.12094330796393749,0.5408105105065116,1.634405277985301,True
Mkt-RF,2,72,0.12449999999999999,0.14716059350821517,0.846014527612311,-0.05492012196517004,0.37032732927647277,1.4670285106893257,True
SMB,0,30,0.05067999999999999,0.1049856614183493,0.48273258762498195,0.575501025596382,-1.2512019266591012,1.7807822104294224,False
SMB,1,96,-0.011462499999999994,0.08689546343618564,-0.13191137427350086,-0.039142936302100764,-0.649532489079398,0.3514412835956516,False
SMB,2,72,-0.02968333333333334,0.09738079157654818,-0.3048171292590094,-0.21204869128760928,-0.7812345557341155,0.24053432753529816,False
HML,0,30,0.17939999999999998,0.16490553408668185,1.0878955699916,1.1386021856035273,0.032701458489905445,1.994483231735794,True
HML,1,96,-0.03135,0.0812115405332855,-0.38602887956731763,-0.3353222639553904,-1.0472931309732474,0.26449530488736533,False
HML,2,72,-0.048633333333333334,0.11717614003468126,-0.415044678199325,-0.36433806258739776,-1.1124312325533925,0.39440656113156397,False
RMW,0,30,0.11771999999999996,0.10810666571684556,1.0889245285608362,0.7918787899607056,0.11505980747814872,2.056251685779783,True
RMW,1,96,0.018075000000000004,0.04811606526766403,0.3756541583242706,0.07860841972414007,-0.23690505803452763,0.9957576807908602,False
RMW,2,72,-0.009916666666666676,0.09134808202256836,-0.10855911199336045,-0.405604850593491,-0.609585777796554,0.4524710169879983,False
CMA,0,30,0.12524000000000002,0.11457284326485533,1.0931037096677934,1.0363588257913317,0.03675984160827187,2.2938475328600014,True
CMA,1,96,0.0016625000000000025,0.052560518377440524,0.03163020554823073,-0.025114678328230923,-0.688467002009393,0.7682212914270287,False
CMA,2,72,-0.0429,0.07284772657815503,-0.5888996405944739,-0.6456445244709356,-1.266831650013667,0.03678759595350965,False
UMD,0,30,0.01768000000000001,0.1445645809628538,0.12229828276224122,-0.13421646482852936,-0.8673014164745461,1.8554923079844439,False
UMD,1,96,0.073925,0.09875333838460988,0.748582288044662,0.4920675404538914,0.28816984820464775,1.2868650487589726,True
UMD,2,72,-0.01596666666666667,0.15214178678583007,-0.10494596523401517,-0.36146071282478576,-0.7032479588397678,0.4527339290619382,False
