restart,seed,loglik,n_iter,converged
0,20260917,-1829.8213093241532,93,True
1,20260918,-1880.240034248519,13,True
2,20260919,-1837.9344575342036,22,True
3,20260920,-1880.240034996683,18,True
4,20260921,-1880.2400324619157,15,True
5,20260922,-1880.2400175002506,13,True
6,20260923,-1915.6267728621804,48,True
7,20260924,-1880.2400280325405,12,True
8,20260925,-1838.1722274727033,28,True
9,20260926,-1915.6267760953695,51,True
10,20260927,-1837.9344575221282,22,True
11,20260928,-1880.2400282172541,12,True
12,20260929,-1880.2400175019447,14,True
13,20260930,-1853.6518613570763,24,True
14,20260931,-1880.2400379462667,18,True
15,20260932,-1837.9344575636724,22,True
16,20260933,-1880.2400246518762,14,True
17,20260934,-2059.8848966682217,71,True
18,20260935,-1880.2400280038155,11,True
19,20260936,-1880.2400227169655,11,True
