restart,seed,loglik,n_iter,converged
0,20260917,-3214.0699061974215,17,True
1,20260918,-3167.167786465156,15,True
2,20260919,-3219.9164596506034,10,True
3,20260920,-3167.1678038548985,18,True
4,20260921,-3283.617011688468,13,True
5,20260922,-3167.167805550265,22,True
6,20260923,-3167.1677772638345,13,True
7,20260924,-3167.167805297827,17,True
8,20260925,-3214.069901067857,14,True
9,20260926,-3148.0476564614046,27,True
10,20260927,-3167.167783310761,20,True
11,20260928,-3167.167804397928,14,True
12,20260929,-3283.616995181879,16,True
13,20260930,-3167.167804473692,15,True
14,20260931,-3161.0731798457086,41,True
15,20260932,-3375.975468157924,88,True
16,20260933,-3167.167809704097,19,True
17,20260934,-3375.974435495319,144,True
18,20260935,-3167.1678028968377,14,True
19,20260936,-3167.167808174869,15,True
