refit_date,state,n_rows,degenerate
2009-12-31,0,13,False
2009-12-31,1,26,False
2009-12-31,2,33,False
2010-12-31,0,12,False
2010-12-31,1,38,False
2010-12-31,2,34,False
2011-12-31,0,12,False
2011-12-31,1,50,False
2011-12-31,2,34,False
2012-12-31,0,15,False
2012-12-31,1,60,False
2012-12-31,2,33,False
2013-12-31,0,13,False
2013-12-31,1,19,False
2013-12-31,2,88,False
2014-12-31,0,17,False
2014-12-31,1,71,False
2014-12-31,2,44,False
2015-12-31,0,33,False
2015-12-31,1,68,False
2015-12-31,2,43,False
2016-12-31,0,32,False
2016-12-31,1,70,False
2016-12-31,2,54,False
2017-12-31,0,32,False
2017-12-31,1,82,False
2017-12-31,2,54,False
2018-12-31,0,32,False
2018-12-31,1,94,False
2018-12-31,2,54,False
2019-12-31,0,32,False
2019-12-31,1,98,False
2019-12-31,2,62,False
2020-12-31,0,42,False
2020-12-31,1,98,False
2020-12-31,2,64,False
2021-12-31,0,54,False
2021-12-31,1,98,False
2021-12-31,2,64,False
2022-12-31,0,24,False
2022-12-31,1,41,False
2022-12-31,2,163,False
2023-12-31,0,54,False
2023-12-31,1,140,False
2023-12-31,2,46,False
2024-12-31,0,24,False
2024-12-31,1,60,False
2024-12-31,2,168,False
2025-12-31,0,56,False
2025-12-31,1,140,False
2025-12-31,2,68,False
