factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.6336404309654093,-1.8214035413362553,0.7231131783746919,False,101,59
Mkt-RF,0,2,-0.6240757600767535,-1.5697686502944417,0.28089702987126336,False,101,98
Mkt-RF,1,2,0.009564670888655813,-1.3191369162986408,1.065893381263774,False,59,98
SMB,0,1,0.9681738132172618,0.0536770968244135,2.0999624416926532,True,101,59
SMB,0,2,-0.30592091387711723,-0.9552764067470771,0.3937967861451824,False,101,98
SMB,1,2,-1.274094727094379,-2.267981708742766,-0.3928253452835977,True,59,98
HML,0,1,0.06785624599617436,-0.807104523480853,1.0528408652016876,False,101,59
HML,0,2,-0.04844689941223412,-0.8917943881458659,0.8414991354364328,False,101,98
HML,1,2,-0.11630314540840847,-1.0429013379533603,0.7298534686436483,False,59,98
RMW,0,1,0.1631810761774517,-0.9971878698391007,1.3841817819309303,False,101,59
RMW,0,2,-0.35057210082811985,-1.0910648524826347,0.5025741629408761,False,101,98
RMW,1,2,-0.5137531770055715,-1.4874000425991534,0.5469443994360137,False,59,98
CMA,0,1,-0.3855953752782151,-1.3430725919908462,0.4654592338947172,False,101,59
CMA,0,2,-0.2692005936138579,-1.0959123358502403,0.49803095846964746,False,101,98
CMA,1,2,0.1163947816643572,-0.7487414982451917,1.0916231275127979,False,59,98
UMD,0,1,-0.8073798086074733,-1.5903336857855024,0.3116780905622586,False,101,59
UMD,0,2,-0.19446816328969369,-0.8310274314362074,0.43713132759552675,False,101,98
UMD,1,2,0.6129116453177796,-0.5063149253177692,1.4538131974339346,False,59,98
