factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,0.6304058902795633,-0.7780250544951616,2.2001324923402743,False,78,66
Mkt-RF,0,2,0.19590699296679964,-0.8493225391145502,1.2803219450329473,False,78,114
Mkt-RF,1,2,-0.4344988973127637,-1.6686029332877643,0.569360228227932,False,66,114
SMB,0,1,-0.8057262965412165,-1.8389062702671595,0.3423191652682636,False,78,66
SMB,0,2,-0.9129761976137261,-1.714799836438431,-0.07435014495634741,True,78,114
SMB,1,2,-0.10724990107250959,-1.0664787013528358,0.7113194911766725,False,66,114
HML,0,1,0.17893142917428106,-0.7943565110813496,1.3426316635456048,False,78,66
HML,0,2,0.33081766386177747,-0.5386772242823769,1.2621058909828522,False,78,114
HML,1,2,0.1518862346874964,-1.0425089313185476,1.1844929272593698,False,66,114
RMW,0,1,-1.7680774075470622,-2.7897624824134604,-0.8640809334396768,True,78,66
RMW,0,2,-0.7217648132205574,-1.6344606058223885,0.03252303888480139,False,78,114
RMW,1,2,1.0463125943265048,0.26362525293710876,1.850860357496018,True,66,114
CMA,0,1,0.19333798856159418,-0.6606085673716802,1.2508524345926038,False,78,66
CMA,0,2,-0.23004241915453638,-1.1461103643241997,0.6726421898842151,False,78,114
CMA,1,2,-0.42338040771613056,-1.5463893499603436,0.5185965352987174,False,66,114
UMD,0,1,0.20996896195752177,-1.047942102831047,1.1514499880183284,False,78,66
UMD,0,2,0.7132022583268529,-0.32881076096966355,1.5350413487546466,False,78,114
UMD,1,2,0.5032332963693312,-0.22049885742283223,1.4291895858942265,False,66,114
