factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,78,0.09098461538461539,0.1959210554790372,0.46439426922314836,-0.2031806410372356,-0.4336566874623686,1.4241384114259812,False
Mkt-RF,1,66,0.14132727272727272,0.12908956168901858,1.0948001595027117,0.42722524924232774,0.30436328670760165,2.219609681215558,True
Mkt-RF,2,114,0.08702105263157894,0.13178992319803517,0.660301262189948,-0.007273648070435956,0.15736251678987137,1.2593863363474143,True
SMB,0,78,0.0551076923076923,0.10005033178909949,0.5507996957357046,0.5850343280685549,-0.14830344432452872,1.1837317762895658,False
SMB,1,66,-0.022,0.08629935020701977,-0.2549266008055119,-0.2206919684726616,-0.9658746690521675,0.5305072299766271,False
SMB,2,114,-0.03209473684210526,0.08861628701940066,-0.3621765018780215,-0.3279418695451712,-0.8088667327498301,0.05602025045144451,False
HML,0,78,-0.025307692307692312,0.1194357146337306,-0.21189384084402677,-0.18321365479211504,-0.9198842001536333,0.3834857298718909,False
HML,1,66,-0.00370909090909091,0.11252486457158321,-0.03296241166974571,-0.004282225617834,-0.8774905683849923,0.9767626804946823,False
HML,2,114,0.012294736842105258,0.10338329638351881,0.11892382301775069,0.1476040090696624,-0.5293362315423076,0.7357182491325984,False
RMW,0,78,0.0817846153846154,0.06974523755668312,1.1726193536604943,0.7254843692200355,0.5491191685626701,1.9542911999118615,True
RMW,1,66,-0.03287272727272727,0.055205781596480645,-0.5954580538865678,-1.0425930383270268,-1.190671059269841,0.027419425105093938,False
RMW,2,114,0.036599999999999994,0.08117917580310109,0.45085454043993695,0.0037195559994780414,-0.00816284521449847,0.9238142722495412,False
CMA,0,78,0.006646153846153844,0.05825230458111497,0.1140925478218502,0.07288328903378133,-0.5878659113447322,0.6865522999395376,False
CMA,1,66,0.01870909090909091,0.060856319379269136,0.30743053638344436,0.2662212775953755,-0.3684908271157053,1.1001961182153832,False
CMA,2,114,-0.009031578947368418,0.0778920997803852,-0.1159498713326862,-0.15715913012075508,-0.8447114672427404,0.4674635107835362,False
UMD,0,78,-0.035153846153846174,0.2172706501223656,-0.16179749144234495,-0.27736456052520947,-0.7774487564008282,0.8282296085860859,False
UMD,1,66,0.005981818181818188,0.12417761213940037,0.04817147051517681,-0.06739559856768769,-0.652307936002668,0.6547967055641256,False
UMD,2,114,0.06069473684210526,0.1100729273434406,0.551404766884508,0.4358376978016435,0.09176225707182048,1.1498295586362937,True
