restart,seed,loglik,n_iter,converged
0,20260917,-4352.287084081173,20,True
1,20260918,-4237.44945970392,19,True
2,20260919,-4189.702576452728,42,True
3,20260920,-4232.643644385733,32,True
4,20260921,-4232.643658335537,36,True
5,20260922,-4325.324525907757,18,True
6,20260923,-4245.853759622124,17,True
7,20260924,-4232.643644248763,38,True
8,20260925,-4333.739491354771,33,True
9,20260926,-4232.643641977281,38,True
10,20260927,-4251.581944765922,13,True
11,20260928,-4232.643642626838,30,True
12,20260929,-4189.702579181745,46,True
13,20260930,-4332.028217903238,23,True
14,20260931,-4333.739493100192,16,True
15,20260932,-4275.2410212359,43,True
16,20260933,-4226.23133404694,20,True
17,20260934,-4232.643649511047,31,True
18,20260935,-4333.73949060781,13,True
19,20260936,-4332.028215651049,21,True
