restart,seed,loglik,n_iter,converged
0,20260917,-4372.508653341728,54,True
1,20260918,-4287.081151144642,17,True
2,20260919,-4382.4524656032245,22,True
3,20260920,-4294.071061324771,20,True
4,20260921,-4281.469469852379,47,True
5,20260922,-4287.081153274121,13,True
6,20260923,-4305.9113563955925,11,True
7,20260924,-4281.469471526629,54,True
8,20260925,-4385.414752981858,17,True
9,20260926,-4278.447002990996,20,True
10,20260927,-4282.3818430831025,59,True
11,20260928,-4281.469469962551,52,True
12,20260929,-4294.4436092398155,14,True
13,20260930,-4281.522171692861,27,True
14,20260931,-4382.452497760425,26,True
15,20260932,-4378.600993711843,16,True
16,20260933,-4344.2963140063275,32,True
17,20260934,-4344.296327692323,92,True
18,20260935,-4385.414756653182,12,True
19,20260936,-4386.858636041982,31,True
