refit_date,state,n_rows,degenerate
2004-12-31,0,41,False
2004-12-31,1,41,False
2004-12-31,2,86,False
2005-12-31,0,53,False
2005-12-31,1,31,False
2005-12-31,2,96,False
2006-12-31,0,89,False
2006-12-31,1,30,False
2006-12-31,2,73,False
2007-12-31,0,42,False
2007-12-31,1,39,False
2007-12-31,2,123,False
2008-12-31,0,47,False
2008-12-31,1,59,False
2008-12-31,2,110,False
2009-12-31,0,93,False
2009-12-31,1,18,False
2009-12-31,2,117,False
2010-12-31,0,105,False
2010-12-31,1,18,False
2010-12-31,2,117,False
2011-12-31,0,116,False
2011-12-31,1,18,False
2011-12-31,2,118,False
2012-12-31,0,129,False
2012-12-31,1,18,False
2012-12-31,2,117,False
2013-12-31,0,141,False
2013-12-31,1,18,False
2013-12-31,2,117,False
2014-12-31,0,86,False
2014-12-31,1,90,False
2014-12-31,2,112,False
2015-12-31,0,149,False
2015-12-31,1,35,False
2015-12-31,2,116,False
2016-12-31,0,117,False
2016-12-31,1,43,False
2016-12-31,2,152,False
2017-12-31,0,149,False
2017-12-31,1,72,False
2017-12-31,2,103,False
2018-12-31,0,104,False
2018-12-31,1,95,False
2018-12-31,2,137,False
2019-12-31,0,104,False
2019-12-31,1,95,False
2019-12-31,2,149,False
2020-12-31,0,155,False
2020-12-31,1,61,False
2020-12-31,2,144,False
2021-12-31,0,98,False
2021-12-31,1,62,False
2021-12-31,2,212,False
2022-12-31,0,167,False
2022-12-31,1,60,False
2022-12-31,2,157,False
2023-12-31,0,158,False
2023-12-31,1,59,False
2023-12-31,2,179,False
2024-12-31,0,166,False
2024-12-31,1,59,False
2024-12-31,2,183,False
2025-12-31,0,102,False
2025-12-31,1,123,False
2025-12-31,2,195,False
