restart,seed,loglik,n_iter,converged
0,20260917,-3283.8156893100017,71,True
1,20260918,-3227.5490435483466,36,True
2,20260919,-3227.549054787253,35,True
3,20260920,-3227.549065264351,35,True
4,20260921,-3227.5490417462647,36,True
5,20260922,-3119.1028785708086,31,True
6,20260923,-3357.4610191306365,17,True
7,20260924,-3243.0985870264617,56,True
8,20260925,-3227.549061159323,36,True
9,20260926,-3261.816360046829,23,True
10,20260927,-3338.86484596651,39,True
11,20260928,-3261.8163661043914,22,True
12,20260929,-3119.1028784556574,31,True
13,20260930,-3325.730564923632,37,True
14,20260931,-3358.095306463213,14,True
15,20260932,-3668.015401750078,22,True
16,20260933,-3345.597756832642,24,True
17,20260934,-3317.4700907747674,59,True
18,20260935,-3227.5490399971527,30,True
19,20260936,-3227.5490626080714,35,True
