restart,seed,loglik,n_iter,converged
0,20260917,-4062.111313377827,17,True
1,20260918,-4062.111315927063,19,True
2,20260919,-4062.111315233243,26,True
3,20260920,-4062.111317008492,19,True
4,20260921,-4062.111315579589,31,True
5,20260922,-4062.111313115952,21,True
6,20260923,-4062.1113152820794,28,True
7,20260924,-4062.1113193295528,25,True
8,20260925,-4062.1113133337394,18,True
9,20260926,-4062.1113126209384,23,True
10,20260927,-4203.38414496845,37,True
11,20260928,-4062.1113140323605,27,True
12,20260929,-4313.017121759665,38,True
13,20260930,-4062.1113190302694,18,True
14,20260931,-4062.11131697705,30,True
15,20260932,-4187.0564219400785,38,True
16,20260933,-4062.1113128702623,24,True
17,20260934,-4062.1113129047344,20,True
18,20260935,-4062.1113123849173,20,True
19,20260936,-4062.1113153785955,31,True
