refit_date,state,n_rows,degenerate
2004-12-31,0,81,False
2004-12-31,1,87,False
2005-12-31,0,67,False
2005-12-31,1,113,False
2006-12-31,0,67,False
2006-12-31,1,125,False
2007-12-31,0,79,False
2007-12-31,1,125,False
2008-12-31,0,91,False
2008-12-31,1,125,False
2009-12-31,0,103,False
2009-12-31,1,125,False
2010-12-31,0,107,False
2010-12-31,1,133,False
2011-12-31,0,93,False
2011-12-31,1,159,False
2012-12-31,0,105,False
2012-12-31,1,159,False
2013-12-31,0,117,False
2013-12-31,1,159,False
2014-12-31,0,163,False
2014-12-31,1,125,False
2015-12-31,0,175,False
2015-12-31,1,125,False
2016-12-31,0,187,False
2016-12-31,1,125,False
2017-12-31,0,199,False
2017-12-31,1,125,False
2018-12-31,0,211,False
2018-12-31,1,125,False
2019-12-31,0,223,False
2019-12-31,1,125,False
2020-12-31,0,235,False
2020-12-31,1,125,False
2021-12-31,0,247,False
2021-12-31,1,125,False
2022-12-31,0,245,False
2022-12-31,1,139,False
2023-12-31,0,204,False
2023-12-31,1,192,False
2024-12-31,0,204,False
2024-12-31,1,204,False
2025-12-31,0,204,False
2025-12-31,1,216,False
