factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,0.7425522786161518,-0.38048437725467027,1.7950906161820352,False,91,61
Mkt-RF,0,2,0.3675322785701262,-0.7392281876073772,1.3000404679700004,False,91,106
Mkt-RF,1,2,-0.37502000004602554,-1.2140475443526801,0.35608786524513103,False,61,106
SMB,0,1,-0.11558973504081885,-0.8612963236509062,0.7311699545655725,False,91,61
SMB,0,2,0.36684359139664846,-0.4111018083128646,1.24623891901641,False,91,106
SMB,1,2,0.48243332643746734,-0.3940415336987242,1.2416318034494351,False,61,106
HML,0,1,0.7127587401525177,-0.15548775334445855,1.6624816234959106,False,91,61
HML,0,2,0.5450714543644474,-0.27498278607864557,1.3857646415513556,False,91,106
HML,1,2,-0.1676872857880704,-1.2300789688666642,0.7311538495930264,False,61,106
RMW,0,1,-0.9535619212759155,-2.019259714082566,0.04475652369315546,False,91,61
RMW,0,2,-0.4054501185519144,-1.4259863465765903,0.439806112189686,False,91,106
RMW,1,2,0.5481118027240012,-0.3609009290834474,1.387597304912768,False,61,106
CMA,0,1,0.041177400595337754,-0.8333867223131017,0.9691082968826713,False,91,61
CMA,0,2,0.925946669474236,-0.0215243201139414,1.767060333603905,False,91,106
CMA,1,2,0.8847692688788983,-0.15932562489001856,1.7849320660053363,False,61,106
UMD,0,1,-0.6418916852732844,-1.3701885059985563,0.1338117696230868,False,91,61
UMD,0,2,-1.0240935385229961,-1.740243915080008,-0.11228584620716416,True,91,106
UMD,1,2,-0.3822018532497116,-1.2212367014644039,0.5711512645936687,False,61,106
