factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,21,0.1610857142857143,0.14291171700439,1.1271693998384051,0.4595944895780212,0.09738904771673293,2.7537173631093,True
Mkt-RF,1,18,0.23673333333333335,0.2061844909631311,1.1481626587310334,0.48058774847064945,-0.09979876767647472,2.7797523628922893,False
Mkt-RF,2,142,0.05757464788732394,0.16672726343220312,0.34532233482459646,-0.3222525754357875,-0.2140566754994112,0.9170801161319165,False
Mkt-RF,3,77,0.13669090909090906,0.1086873185138985,1.2576527874632362,0.5900778772028522,0.7482380603671289,1.8706774131822546,True
SMB,0,21,-0.11005714285714285,0.07501880907003065,-1.467060650808301,-1.4328260184754509,-2.5503632972375336,-0.19361178772083074,True
SMB,1,18,0.07513333333333333,0.11369700532383357,0.6608206884546994,0.6950553207875497,-0.958149813782472,1.9495008026017455,False
SMB,2,142,0.013081690140845065,0.08516914144852823,0.1535965951793814,0.1878312275122317,-0.32885014655029954,0.6353187032940975,False
SMB,3,77,-0.022223376623376635,0.10159706186784004,-0.21874034755341004,-0.18450571522055975,-0.7068503897002187,0.32454215258990415,False
HML,0,21,0.08262857142857143,0.16059540288741586,0.5145139271919105,0.5431941132438222,-1.7597581710790504,1.9363892845289514,False
HML,1,18,-0.03859999999999998,0.17220023570387638,-0.22415764904281754,-0.19547746299090585,-2.546481935813358,1.1913587080507446,False
HML,2,142,-0.01809295774647888,0.09606730861971734,-0.18833626138210963,-0.15965607533019793,-0.7413991298217755,0.36387958870589354,False
HML,3,77,0.009241558441558429,0.10227969492783882,0.09035574898887413,0.11903593504078584,-0.6608111365484859,0.8852286431665991,False
RMW,0,21,0.15651428571428572,0.09242354060055726,1.6934461144560613,1.2463111300156025,0.6854816262416903,2.537281280699566,True
RMW,1,18,0.0013333333333333363,0.07200734167362353,0.018516630420502517,-0.4286183540199564,-1.27215893547981,1.2083164013008623,False
RMW,2,142,0.02509859154929578,0.06415800300597979,0.3911997003235353,-0.05593528411692361,-0.15124278957368167,0.9677970142682565,False
RMW,3,77,0.01957402597402597,0.08007531178256194,0.24444520462408756,-0.20268977981637135,-0.23453470582193872,0.8381950339756185,False
CMA,0,21,0.06720000000000001,0.09099081272304364,0.73853610039227,0.6973268416042011,-1.7237837890606933,2.068314408482161,False
CMA,1,18,0.005533333333333325,0.07294363389282299,0.07585765937386012,0.03464840058579124,-1.3882687857533114,1.0996931130751206,False
CMA,2,142,0.015439436619718305,0.0627895672168044,0.24589175087650933,0.20468249208844044,-0.27596231775270347,0.7438806947306076,False
CMA,3,77,-0.03869610389610388,0.0686598976460861,-0.5635910512941134,-0.6048003100821823,-1.291583326545753,0.1857259656703508,False
UMD,0,21,0.03920000000000001,0.13359321839075514,0.29342806822230666,0.17786099913944214,-1.080006190322554,1.4809352077225644,False
UMD,1,18,-0.4148666666666666,0.33842316995262645,-1.225881392000261,-1.3414484610831254,-2.1656188034002595,0.8401672474025879,False
UMD,2,142,0.06194366197183098,0.1230437924628869,0.503427769348988,0.3878607002661235,0.07000809180815416,0.9354127029322321,True
UMD,3,77,0.031433766233766244,0.13070039711969275,0.24050245390593455,0.12493538482307005,-0.4496834478337526,1.0115288165705236,False
