min_regime_obs,source,eta,n_months,n_fallback,fallback_share,mean_abs_deviation
12,hmm_filtered,0.25,258,36,0.13953488372093023,0.04563968487465384
12,hmm_filtered,0.5,258,36,0.13953488372093023,0.09127936974930768
12,hmm_filtered,1.0,258,36,0.13953488372093023,0.18255873949861537
12,hmm_smoothed,0.25,258,36,0.13953488372093023,0.044234748540518926
12,hmm_smoothed,0.5,258,36,0.13953488372093023,0.08846949708103785
12,hmm_smoothed,1.0,258,36,0.13953488372093023,0.1769389941620757
12,gmm_filtered,0.25,258,37,0.1434108527131783,0.047006384027228815
12,gmm_filtered,0.5,258,37,0.1434108527131783,0.09401276805445763
12,gmm_filtered,1.0,258,37,0.1434108527131783,0.1880255361089153
12,rules,0.25,258,56,0.21705426356589147,0.03895594924341135
12,rules,0.5,258,56,0.21705426356589147,0.07791189848682273
12,rules,1.0,258,56,0.21705426356589147,0.15582379697364546
24,hmm_filtered,0.25,258,72,0.27906976744186046,0.038877436968754495
24,hmm_filtered,0.5,258,72,0.27906976744186046,0.07775487393750899
24,hmm_filtered,1.0,258,72,0.27906976744186046,0.15550974787501798
24,hmm_smoothed,0.25,258,72,0.27906976744186046,0.03637991726304113
24,hmm_smoothed,0.5,258,72,0.27906976744186046,0.07275983452608226
24,hmm_smoothed,1.0,258,72,0.27906976744186046,0.1455196690521645
24,gmm_filtered,0.25,258,67,0.2596899224806202,0.04030315649391123
24,gmm_filtered,0.5,258,67,0.2596899224806202,0.08060631298782246
24,gmm_filtered,1.0,258,67,0.2596899224806202,0.16121262597564492
24,rules,0.25,258,104,0.40310077519379844,0.03033425976632318
24,rules,0.5,258,104,0.40310077519379844,0.06066851953264636
24,rules,1.0,258,104,0.40310077519379844,0.12133703906529272
36,hmm_filtered,0.25,258,108,0.4186046511627907,0.030476604729783065
36,hmm_filtered,0.5,258,108,0.4186046511627907,0.06095320945956614
36,hmm_filtered,1.0,258,108,0.4186046511627907,0.12190641891913229
36,hmm_smoothed,0.25,258,108,0.4186046511627907,0.028173689607377362
36,hmm_smoothed,0.5,258,108,0.4186046511627907,0.05634737921475473
36,hmm_smoothed,1.0,258,108,0.4186046511627907,0.11269475842950946
36,gmm_filtered,0.25,258,91,0.35271317829457366,0.0350851905003604
36,gmm_filtered,0.5,258,91,0.35271317829457366,0.0701703810007208
36,gmm_filtered,1.0,258,91,0.35271317829457366,0.1403407620014416
36,rules,0.25,258,152,0.5891472868217055,0.02160591548062439
36,rules,0.5,258,152,0.5891472868217055,0.04321183096124878
36,rules,1.0,258,152,0.5891472868217055,0.08642366192249756
