factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.5793208289134677,-1.8305555065191779,0.9636619604527279,False,105,37
Mkt-RF,0,2,0.09796598836894299,-0.7227586748729793,0.9146755170313259,False,105,116
Mkt-RF,1,2,0.6772868172824107,-0.8169162660055753,1.9597504617647004,False,37,116
SMB,0,1,1.137443873524259,0.1717687395681682,2.282811138741881,True,105,37
SMB,0,2,-0.03126036639828386,-0.7357194439038015,0.666176112688516,False,105,116
SMB,1,2,-1.168704239922543,-2.393559220375835,-0.09730849921115516,True,37,116
HML,0,1,-0.2729103417794271,-1.2588598951569014,0.7928699442089345,False,105,37
HML,0,2,-0.789970676938339,-1.5777793537943465,0.11987767975505695,False,105,116
HML,1,2,-0.5170603351589118,-1.7560689185783978,0.6443871655312237,False,37,116
RMW,0,1,0.8055173650288934,-0.5981061133146179,2.2140941248248738,False,105,37
RMW,0,2,-0.029963745381788365,-0.7532442206962394,0.7059698452710015,False,105,116
RMW,1,2,-0.8354811104106818,-2.1824082248164682,0.5424667445157947,False,37,116
CMA,0,1,0.6131776360696303,-0.45818239663840954,1.7496624097427664,False,105,37
CMA,0,2,-0.30703276380127864,-1.1512935709737753,0.5645921104827881,False,105,116
CMA,1,2,-0.920210399870909,-2.01514739776003,0.20304762600113818,False,37,116
UMD,0,1,1.0238466925392518,-0.04592589648453677,1.9091178054632905,False,105,37
UMD,0,2,0.9405378885862603,0.06441027547471775,1.6267070770966567,True,105,116
UMD,1,2,-0.08330880395299145,-0.9139415645243557,0.8481530408515843,False,37,116
