factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.02369272263344302,-1.0684097743595762,0.9173810659203836,False,78,73
Mkt-RF,0,2,1.030552449434639,0.3026923254336929,1.718318121795257,True,78,107
Mkt-RF,1,2,1.054245172068082,0.06707694066342094,2.1049628685261244,True,73,107
SMB,0,1,0.5854079023198391,-0.31635445080253727,1.4352380819168025,False,78,73
SMB,0,2,-0.20291853893566564,-0.8663850341992188,0.5570059372238251,False,78,107
SMB,1,2,-0.7883264412555047,-1.5437029331389025,0.06548965966862677,False,73,107
HML,0,1,-0.7832459529306597,-1.759600094311189,0.20034394964196245,False,78,73
HML,0,2,-0.49994572318755676,-1.3041122898384798,0.3990336180173751,False,78,107
HML,1,2,0.283300229743103,-0.5188610911457278,1.2005045524161875,False,73,107
RMW,0,1,0.8095925012287392,-0.11012200266085004,1.8529729988716226,False,78,73
RMW,0,2,-0.07083839164343547,-0.8202713462559139,0.6983502852189633,False,78,107
RMW,1,2,-0.8804308928721747,-1.829678861917762,-0.02168460839415529,True,73,107
CMA,0,1,-0.27590027770250736,-1.1973139876165904,0.6701014533882174,False,78,73
CMA,0,2,-0.9390326142131433,-1.852662002854586,0.044972634431310804,False,78,107
CMA,1,2,-0.663132336510636,-1.4285271259051937,0.2182320941530299,False,73,107
UMD,0,1,-0.6567141305765296,-1.5088141147783733,0.5689907177163277,False,78,73
UMD,0,2,-0.4033675208218358,-1.1387765381860973,0.2547223257582166,False,78,107
UMD,1,2,0.25334660975469375,-0.9443136146516976,1.0639229809045712,False,73,107
