factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,105,0.12038857142857146,0.16141232077107154,0.745844994071528,0.07827008381114409,0.22087950953009072,1.388805006982446,True
Mkt-RF,1,37,0.03301621621621622,0.1982668172206605,0.1665241651580603,-0.5010507451023236,-1.0072729367112503,1.6335483922457572,False
Mkt-RF,2,116,0.10760689655172415,0.1275248826941116,0.843810982440471,0.17623607218008708,0.37683647693272015,1.4689701570267784,True
SMB,0,105,-0.02005714285714286,0.10280419081122932,-0.19510043996136403,-0.16086580762851374,-0.7177439891309123,0.3374888438111136,False
SMB,1,37,0.0907135135135135,0.09626375086048604,0.942343433562895,0.9765780658957453,-0.005295993190399516,2.0450767783961874,False
SMB,2,116,-0.017782758620689655,0.07855935356775479,-0.2263608063596479,-0.1921261740267976,-0.6484666930838486,0.1870206433568308,False
HML,0,105,0.03722285714285714,0.13743014433314318,0.27084929091412097,0.29952947696603266,-0.26410107597338717,0.7687329320359536,False
HML,1,37,-0.00022702702702702903,0.11015110342427616,-0.0020610508653061267,0.02661913518660558,-0.8438470646186836,0.9509875650383942,False
HML,2,116,-0.040665517241379324,0.0783352763653667,-0.519121386024218,-0.4904411999723063,-1.1466584301464748,0.23376342282520102,False
RMW,0,105,0.034982857142857135,0.09255756771144831,0.37795782676482487,-0.06917715767563404,-0.13487471857845265,0.8694767750226612,False
RMW,1,37,0.06775135135135137,0.05724780022525434,1.1834751917937183,0.7363402073532594,-0.08395940853342543,2.4226714795339674,False
RMW,2,116,0.018982758620689655,0.05454908470065433,0.3479940813830365,-0.0991409030574224,-0.20002905896979542,0.9058934106267695,False
CMA,0,105,0.005314285714285721,0.0887670398438371,0.05986778114528598,0.0186585223572171,-0.5850223035662732,0.6256458708288954,False
CMA,1,37,0.0397945945945946,0.059126165302879424,0.6730454172149163,0.6318361584268474,-0.256364244531134,1.5332869721836475,False
CMA,2,116,-0.011265517241379312,0.04557893727631636,-0.24716498265599268,-0.28837424144406154,-0.8555962982715543,0.3802747976761932,False
UMD,0,105,-0.06401142857142858,0.1904790892737296,-0.3360548856858529,-0.4516219547687174,-0.8866532378904125,0.3996920512791426,False
UMD,1,37,0.11481081081081079,0.16692669157555468,0.6877918068533989,0.5722247377705344,-0.11085631622097902,1.3889666033105836,False
UMD,2,116,0.060734482758620686,0.1004734334418119,0.6044830029004075,0.48891593381754295,0.18359888215157488,1.0301687038603382,True
