factor,state,n,ann_mean,ann_std,sharpe,excess_sharpe,sharpe_p05,sharpe_p95,excludes_zero
Mkt-RF,0,78,0.05949230769230769,0.15060067283163994,0.39503347876018824,-0.2725414315001957,-0.04206469501136969,0.9716729892661923,False
Mkt-RF,1,73,0.07635616438356166,0.2056229032869743,0.3713407561267452,-0.29623415413363874,-0.5128834127292597,1.2333448573890387,False
Mkt-RF,2,107,0.15075140186915886,0.1057469766554517,1.4255859281948273,0.7580110179344434,0.9530375851533617,1.9826279622419871,True
SMB,0,78,-0.010907692307692311,0.07897684393619359,-0.13811253734708334,-0.10387790501423305,-0.7101712769084184,0.38224234873881524,False
SMB,1,73,0.04645479452054794,0.10385708898051614,0.44729536497275574,0.48152999730560603,-0.2779212507982953,1.092142152283467,False
SMB,2,107,-0.03133457943925233,0.09188188883195154,-0.341031076282749,-0.3067964439498987,-0.7961020429882402,0.10958761144024437,False
HML,0,78,0.04360000000000001,0.10142185527425894,0.42988762019881693,0.4585678062507286,-0.34226376203538894,1.076502899784254,False
HML,1,73,-0.047819178082191785,0.13532772161476347,-0.3533583327318428,-0.3246781466799311,-1.1340490458996568,0.3407265794732464,False
HML,2,107,-0.006796261682242989,0.09700893104877996,-0.07005810298873984,-0.04137791693682813,-0.5884055691204948,0.45167510462354926,False
RMW,0,78,0.022092307692307692,0.0881785455997994,0.2505406223479144,-0.1965943620925445,-0.3296068892106029,0.8583675160458557,False
RMW,1,73,0.07551780821917808,0.07123426911178644,1.0601331235766536,0.6129981391361947,0.3996405088127123,1.8275628427481492,True
RMW,2,107,0.010710280373831775,0.05960015260714752,0.17970223070447894,-0.26743275373597997,-0.32900410977876415,0.7217208889573015,False
CMA,0,78,0.03850769230769231,0.08236150000647562,0.4675448152919102,0.42633555650384136,-0.28459360438410747,1.1396171206750505,False
CMA,1,73,0.011276712328767122,0.05884181448952854,0.19164453758940284,0.15043527880133395,-0.464809126964404,0.7618509676611267,False
CMA,2,107,-0.02900186915887851,0.06151138847120744,-0.4714877989212331,-0.512697057709302,-0.9976108251495014,0.10060874991445148,False
UMD,0,78,0.0739846153846154,0.14437728526156912,0.5124394412221912,0.3968723721393267,0.03324125368241919,1.0625987800241974,True
UMD,1,73,-0.03157808219178084,0.21887471969684946,-0.14427468935433835,-0.25984175843720286,-0.7850827402493004,1.0039401240528967,False
UMD,2,107,0.010340186915887848,0.09480154817054229,0.10907192040035539,-0.006495148682509111,-0.40396267254195245,0.5792846187679973,False
