restart,seed,lower_bound,n_iter,converged
0,20260917,-8.620891467101066,26,True
1,20260918,-8.598141035850059,38,True
2,20260919,-8.648579137142715,22,True
3,20260920,-8.620866303494632,22,True
4,20260921,-8.6118303692593,21,True
5,20260922,-8.53022491647226,29,True
6,20260923,-8.637727561440334,39,True
7,20260924,-8.561604279079262,40,True
8,20260925,-8.53026696057595,28,True
9,20260926,-8.530221119971323,29,True
10,20260927,-8.530233522324227,29,True
11,20260928,-8.611804864386464,17,True
12,20260929,-8.611833369834612,17,True
13,20260930,-8.676098298145531,10,True
14,20260931,-8.637093111847358,10,True
15,20260932,-8.561612305977668,40,True
16,20260933,-8.53022491647226,29,True
17,20260934,-8.621025335383106,29,True
18,20260935,-8.621025335383106,29,True
19,20260936,-8.5616093371597,29,True
