restart,seed,loglik,n_iter,converged
0,20260917,-3657.266068057977,86,True
1,20260918,-3607.301664317172,43,True
2,20260919,-3487.293301129742,46,True
3,20260920,-3563.4220944169533,23,True
4,20260921,-3497.7547405089613,47,True
5,20260922,-3481.435762017392,43,True
6,20260923,-3508.355600578978,31,True
7,20260924,-3490.980602969436,20,True
8,20260925,-3437.428358474145,52,True
9,20260926,-3440.0196901039535,40,True
10,20260927,-3499.9516162841123,16,True
11,20260928,-3493.920639395905,23,True
12,20260929,-3457.1685150935077,13,True
13,20260930,-3446.808978321043,65,True
14,20260931,-3436.9880226366736,24,True
15,20260932,-3647.901975557053,53,True
16,20260933,-3452.8024657606,85,True
17,20260934,-3480.8439011777896,76,True
18,20260935,-3454.711011739876,27,True
19,20260936,-3481.2209397405336,12,True
