restart,seed,loglik,n_iter,converged
0,20260917,-1279.0471119725896,17,True
1,20260918,-1213.7485122502785,21,True
2,20260919,-1165.0119948042513,20,True
3,20260920,-1208.8546629058033,15,True
4,20260921,-1177.916158170411,13,True
5,20260922,-1203.4826160072275,34,True
6,20260923,-1221.5497566567215,10,True
7,20260924,-1184.9140947481842,10,True
8,20260925,-1195.1176378107148,54,True
9,20260926,-1179.432701999291,47,True
10,20260927,-1171.6258938234541,32,True
11,20260928,-1186.106847915082,22,True
12,20260929,-1189.83148674297,43,True
13,20260930,-1203.3116066269765,9,True
14,20260931,-1208.4337003896894,39,True
15,20260932,-1375.6910796173922,40,True
16,20260933,-1190.8346679362483,64,True
17,20260934,-1279.0470720443197,21,True
18,20260935,-1189.451010011851,18,True
19,20260936,-1196.616542076311,11,True
