restart,seed,loglik,n_iter,converged
0,20260917,-3700.667553100201,27,True
1,20260918,-3651.1200905305727,44,True
2,20260919,-3531.2226589193274,13,True
3,20260920,-3605.8761179874814,17,True
4,20260921,-3538.2683261080592,59,True
5,20260922,-3466.969342473737,61,True
6,20260923,-3559.6060215029115,50,True
7,20260924,-3534.901337578298,34,True
8,20260925,-3478.7837706861133,54,True
9,20260926,-3549.5970197199945,24,True
10,20260927,-3574.7246953156664,33,True
11,20260928,-3532.5063241226635,30,True
12,20260929,-3622.6859656983847,24,True
13,20260930,-3545.8904096580873,21,True
14,20260931,-3462.004135284599,52,True
15,20260932,-3783.9982613832426,44,True
16,20260933,-3496.023910133948,32,True
17,20260934,-3704.4417884461286,82,True
18,20260935,-3520.302885182007,41,True
19,20260936,-3513.126105852055,36,True
