refit_date,state,n_rows,degenerate
2004-12-31,0,42,False
2004-12-31,1,64,False
2004-12-31,2,62,False
2005-12-31,0,57,False
2005-12-31,1,70,False
2005-12-31,2,53,False
2006-12-31,0,57,False
2006-12-31,1,81,False
2006-12-31,2,54,False
2007-12-31,0,58,False
2007-12-31,1,75,False
2007-12-31,2,71,False
2008-12-31,0,89,False
2008-12-31,1,55,False
2008-12-31,2,72,False
2009-12-31,0,65,False
2009-12-31,1,64,False
2009-12-31,2,99,False
2010-12-31,0,123,False
2010-12-31,1,51,False
2010-12-31,2,66,False
2011-12-31,0,113,False
2011-12-31,1,53,False
2011-12-31,2,86,False
2012-12-31,0,122,False
2012-12-31,1,38,False
2012-12-31,2,104,False
2013-12-31,0,119,False
2013-12-31,1,52,False
2013-12-31,2,105,False
2014-12-31,0,121,False
2014-12-31,1,43,False
2014-12-31,2,124,False
2015-12-31,0,168,False
2015-12-31,1,57,False
2015-12-31,2,75,False
2016-12-31,0,99,False
2016-12-31,1,30,False
2016-12-31,2,183,False
2017-12-31,0,142,False
2017-12-31,1,56,False
2017-12-31,2,126,False
2018-12-31,0,135,False
2018-12-31,1,104,False
2018-12-31,2,97,False
2019-12-31,0,123,False
2019-12-31,1,63,False
2019-12-31,2,162,False
2020-12-31,0,201,False
2020-12-31,1,40,False
2020-12-31,2,119,False
2021-12-31,0,121,False
2021-12-31,1,79,False
2021-12-31,2,172,False
2022-12-31,0,155,False
2022-12-31,1,57,False
2022-12-31,2,172,False
2023-12-31,0,152,False
2023-12-31,1,73,False
2023-12-31,2,171,False
2024-12-31,0,184,False
2024-12-31,1,69,False
2024-12-31,2,155,False
2025-12-31,0,179,False
2025-12-31,1,57,False
2025-12-31,2,184,False
