eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.25,0,10,hmm_filtered,0.2117096456711808,0.22300299188695333,0.01129334621577252,-0.07468621042597497,0.0922365648334864,0.41,0.021937534652058728,258
0.25,0,10,hmm_smoothed,0.2117096456711808,0.26552943671383405,0.05381979104265325,-0.03675841191921953,0.152233950711123,0.178,0.017977574627613034,258
0.25,0,10,gmm_filtered,0.2117096456711808,0.17899618148074545,-0.03271346419043536,-0.15358050547369298,0.0697195832092652,0.683,0.027304281085340793,258
0.25,0,10,rules,0.2117096456711808,0.14052734588430046,-0.07118229978688034,-0.1854086789330138,0.025359811101997816,0.8895,0.03500294622645776,258
0.25,0,20,hmm_filtered,0.2117096456711808,0.2170518724957204,0.005342226824539581,-0.08108950930947581,0.08689968975521051,0.4565,0.021937534652058728,258
0.25,0,20,hmm_smoothed,0.2117096456711808,0.2607569910471532,0.04904734537597241,-0.04064089739978138,0.14726928734523542,0.199,0.017977574627613034,258
0.25,0,20,gmm_filtered,0.2117096456711808,0.17165123491729736,-0.040058410753883444,-0.16057566529068087,0.06311982301706305,0.7195,0.027304281085340793,258
0.25,0,20,rules,0.2117096456711808,0.13094826503085702,-0.08076138064032379,-0.19567663859206808,0.016706124409405842,0.9215,0.03500294622645776,258
0.25,0,50,hmm_filtered,0.2117096456711808,0.19919634680444764,-0.012513298866733163,-0.10091966098683808,0.0701799218416066,0.6,0.021937534652058728,258
0.25,0,50,hmm_smoothed,0.2117096456711808,0.24640687320703322,0.034697227535852415,-0.05406322765736436,0.13076099344345998,0.2775,0.017977574627613034,258
0.25,0,50,gmm_filtered,0.2117096456711808,0.1496221778000309,-0.06208746787114991,-0.18485060661663136,0.041479726651352286,0.823,0.027304281085340793,258
0.25,0,50,rules,0.2117096456711808,0.10223948856792572,-0.10947015710325508,-0.22536025938258158,-0.01180727647909742,0.9685,0.03500294622645776,258
0.25,1,10,hmm_filtered,0.20637752512387034,0.205587442113542,-0.0007900830103283463,-0.10155322979117312,0.10476096433089009,0.4975,0.021995870518765812,257
0.25,1,10,hmm_smoothed,0.20637752512387034,0.2474599130733212,0.04108238794945088,-0.06150173873312598,0.1468298234274431,0.2575,0.018047526279860556,257
0.25,1,10,gmm_filtered,0.20637752512387034,0.1685027392355984,-0.03787478588827195,-0.14201139881345967,0.058774476508588795,0.748,0.026807703666357634,257
0.25,1,10,rules,0.20637752512387034,0.1458518919659877,-0.06052563315788265,-0.14004577147821787,0.01037240006020927,0.914,0.034985213760759595,257
0.25,1,20,hmm_filtered,0.20637752512387034,0.19960708732188312,-0.006770437801987217,-0.10769598303845324,0.09823552082600301,0.5345,0.021995870518765812,257
0.25,1,20,hmm_smoothed,0.20637752512387034,0.24257697819357293,0.0361994530697026,-0.06715906996766882,0.14160494467282458,0.282,0.018047526279860556,257
0.25,1,20,gmm_filtered,0.20637752512387034,0.16125923378565343,-0.045118291338216904,-0.1497434724274583,0.05137546957691777,0.795,0.026807703666357634,257
0.25,1,20,rules,0.20637752512387034,0.13651492989675773,-0.0698625952271126,-0.15014357877800963,0.0011176277662042452,0.9475,0.034985213760759595,257
0.25,1,50,hmm_filtered,0.20637752512387034,0.1816544322754031,-0.024723092848467243,-0.12791106325227855,0.07975663449342164,0.652,0.021995870518765812,257
0.25,1,50,hmm_smoothed,0.20637752512387034,0.22791123175690003,0.021533706633029698,-0.08183801194899037,0.12505093798508657,0.3845,0.018047526279860556,257
0.25,1,50,gmm_filtered,0.20637752512387034,0.13954165768184257,-0.06683586744202777,-0.17154458599466346,0.02926021941478853,0.8805,0.026807703666357634,257
0.25,1,50,rules,0.20637752512387034,0.10853807243967085,-0.09783945268419948,-0.1799187831031683,-0.025884500536076764,0.986,0.034985213760759595,257
0.5,0,10,hmm_filtered,0.2117096456711808,0.21917014118298095,0.0074604955118001415,-0.16490465370151233,0.16593982735673402,0.4655,0.043875069304117456,258
0.5,0,10,hmm_smoothed,0.2117096456711808,0.28428885291892986,0.07257920724774905,-0.10384384996587445,0.25172258295755484,0.249,0.035955149255226075,258
