eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.25,0,10,hmm_filtered,0.20473892024773638,0.12861624714506587,-0.07612267310267051,-0.2179338948511089,0.06490145930182634,0.8035,0.020051498616773904,198
0.25,0,10,hmm_smoothed,0.20473892024773638,0.14687142792915533,-0.05786749231858104,-0.17972268148818119,0.06388689482135937,0.773,0.022892330454442122,198
0.25,0,20,hmm_filtered,0.20473892024773638,0.1232482728565727,-0.08149064739116368,-0.22376328614437543,0.059709156916993834,0.823,0.020051498616773904,198
0.25,0,20,hmm_smoothed,0.20473892024773638,0.14084159432077012,-0.06389732592696626,-0.1864909101438044,0.058755208101022895,0.7905,0.022892330454442122,198
0.25,0,50,hmm_filtered,0.20473892024773638,0.10718053788803852,-0.09755838235969785,-0.24326497084917637,0.04496767416719522,0.868,0.020051498616773904,198
0.25,0,50,hmm_smoothed,0.20473892024773638,0.12278044688017785,-0.08195847336755853,-0.2071594971382361,0.044791624054391826,0.849,0.022892330454442122,198
0.25,1,10,hmm_filtered,0.22710237352110335,0.19340071799328762,-0.03370165552781573,-0.15435374803483287,0.08304992890947101,0.689,0.0191380544473159,197
0.25,1,10,hmm_smoothed,0.22710237352110335,0.21174116769068405,-0.015361205830419306,-0.15558290168186115,0.11438807762901965,0.5775,0.02300853517756112,197
0.25,1,20,hmm_filtered,0.22710237352110335,0.18829425115290815,-0.0388081223681952,-0.15960085487065268,0.07675153353614364,0.7125,0.0191380544473159,197
0.25,1,20,hmm_smoothed,0.22710237352110335,0.20551763412058924,-0.021584739400514114,-0.16184343325881206,0.10784448455200032,0.608,0.02300853517756112,197
0.25,1,50,hmm_filtered,0.22710237352110335,0.17299566108552367,-0.054106712435579685,-0.17598290088225302,0.06172789770198369,0.7865,0.0191380544473159,197
0.25,1,50,hmm_smoothed,0.22710237352110335,0.186871155364585,-0.04023121815651834,-0.18015029337288707,0.08833175923374462,0.686,0.02300853517756112,197
0.5,0,10,hmm_filtered,0.20473892024773638,0.05164687380314102,-0.15309204644459534,-0.4107226285434821,0.11753842204834677,0.814,0.04010299723354781,198
0.5,0,10,hmm_smoothed,0.20473892024773638,0.08456893270904488,-0.1201699875386915,-0.32739745536122317,0.11262024180215185,0.7905,0.045784660908884244,198
0.5,0,20,hmm_filtered,0.20473892024773638,0.0420469804864212,-0.16269193976131519,-0.42079815196759207,0.1100535383881322,0.8285,0.04010299723354781,198
0.5,0,20,hmm_smoothed,0.20473892024773638,0.07404473054729266,-0.13069418970044372,-0.34173190067056064,0.10327742047595885,0.8145,0.045784660908884244,198
0.5,0,50,hmm_filtered,0.20473892024773638,0.013426873824008053,-0.19131204642372832,-0.45231315722281706,0.08301071207617776,0.876,0.04010299723354781,198
0.5,0,50,hmm_smoothed,0.20473892024773638,0.04256299057152296,-0.16217592967621342,-0.3755728080577104,0.07190645311513798,0.8685,0.045784660908884244,198
0.5,1,10,hmm_filtered,0.22710237352110335,0.15335939959352504,-0.07374297392757831,-0.2945681760320973,0.15899358592845203,0.7025,0.0382761088946318,197
0.5,1,10,hmm_smoothed,0.22710237352110335,0.17723956587706405,-0.0498628076440393,-0.31123468785567626,0.20941845723733699,0.6165,0.04601707035512224,197
0.5,1,20,hmm_filtered,0.22710237352110335,0.14395906323725222,-0.08314331028385114,-0.30443465050731433,0.14963945920449995,0.726,0.0382761088946318,197
0.5,1,20,hmm_smoothed,0.22710237352110335,0.1662570869574166,-0.06084528656368676,-0.3205248343904983,0.1962772543414101,0.6465,0.04601707035512224,197
0.5,1,50,hmm_filtered,0.22710237352110335,0.11585434536463374,-0.11124802815646961,-0.3325227696273383,0.1207720697582094,0.792,0.0382761088946318,197
0.5,1,50,hmm_smoothed,0.22710237352110335,0.13335901855337245,-0.0937433549677309,-0.35022780445001495,0.16107247728632726,0.72,0.04601707035512224,197
1.0,0,10,hmm_filtered,0.20473892024773638,-0.05707924319190713,-0.2618181634396435,-0.6567774980777402,0.20109963770909506,0.8245,0.08020599446709561,198
1.0,0,10,hmm_smoothed,0.20473892024773638,-0.003027036459391557,-0.20776595670712794,-0.517749477768421,0.152052697493226,0.815,0.09156932181776849,198
1.0,0,20,hmm_filtered,0.20473892024773638,-0.07100422280829884,-0.2757431430560352,-0.6727264766521793,0.18681053862319147,0.838,0.08020599446709561,198
1.0,0,20,hmm_smoothed,0.20473892024773638,-0.017880606368557407,-0.22261952661629378,-0.5315841759874519,0.13835618452907644,0.834,0.09156932181776849,198
1.0,0,50,hmm_filtered,0.20473892024773638,-0.11226094082607872,-0.3169998610738151,-0.7108847840827409,0.14299967534064376,0.879,0.08020599446709561,198
1.0,0,50,hmm_smoothed,0.20473892024773638,-0.06226930771879284,-0.26700822796652923,-0.5769825035877948,0.09821469734468244,0.885,0.09156932181776849,198
1.0,1,10,hmm_filtered,0.22710237352110335,0.08159947659682973,-0.14550289692427362,-0.5162512698096636,0.2633917022932204,0.7335,0.0765522177892636,197
1.0,1,10,hmm_smoothed,0.22710237352110335,0.11015644956093408,-0.11694592396016927,-0.5109421318579468,0.3094823199462395,0.662,0.09203414071024447,197
1.0,1,20,hmm_filtered,0.22710237352110335,0.06685041679486935,-0.160251956726234,-0.5327023162063909,0.24567951683804617,0.7515,0.0765522177892636,197
1.0,1,20,hmm_smoothed,0.22710237352110335,0.09469300190597461,-0.13240937161512872,-0.5245602158423466,0.2927088828721751,0.688,0.09203414071024447,197
1.0,1,50,hmm_filtered,0.22710237352110335,0.022912589303264,-0.20418978421783934,-0.5756349923354326,0.19675424569995129,0.8025,0.0765522177892636,197
1.0,1,50,hmm_smoothed,0.22710237352110335,0.04832344702677845,-0.1787789264943249,-0.5672639319674921,0.24184276644132072,0.753,0.09203414071024447,197
