eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.25,0,10,hmm_filtered,0.2117096456711808,0.20263689794855044,-0.009072747722630364,-0.08234222194018619,0.06827193686429617,0.572,0.017670192473781127,258
0.25,0,10,hmm_smoothed,0.2117096456711808,0.2730789208439346,0.061369275172753784,-0.02484257496415583,0.1499563755280107,0.128,0.013813638782220996,258
0.25,0,10,gmm_filtered,0.2117096456711808,0.16551194853600812,-0.04619769713517269,-0.16551358689668683,0.05275750746737017,0.76,0.025916355778274967,258
0.25,0,10,rules,0.2117096456711808,0.15841790773023204,-0.05329173794094877,-0.1612161306242223,0.035642963398640114,0.839,0.023043524043249466,258
0.25,0,20,hmm_filtered,0.2117096456711808,0.19779940462871626,-0.01391024104246455,-0.08836198934297668,0.06320863914850225,0.625,0.017670192473781127,258
0.25,0,20,hmm_smoothed,0.2117096456711808,0.26942181709343443,0.05771217142225363,-0.02838007208273418,0.14595093642523882,0.139,0.013813638782220996,258
0.25,0,20,gmm_filtered,0.2117096456711808,0.15851952334979735,-0.053190122321383454,-0.17271275287272367,0.04667635721521487,0.789,0.025916355778274967,258
0.25,0,20,rules,0.2117096456711808,0.15211367958913571,-0.05959596608204509,-0.16694600778759136,0.029435318176606596,0.8635,0.023043524043249466,258
0.25,0,50,hmm_filtered,0.2117096456711808,0.18326979215838063,-0.02843985351280018,-0.10580457601796199,0.04789117417979081,0.7415,0.017670192473781127,258
0.25,0,50,hmm_smoothed,0.2117096456711808,0.2584241195415099,0.04671447387032909,-0.03820736389492923,0.13249459006682948,0.189,0.013813638782220996,258
0.25,0,50,gmm_filtered,0.2117096456711808,0.13755072981523792,-0.07415891585594289,-0.1948666992382847,0.02703485778621616,0.879,0.025916355778274967,258
0.25,0,50,rules,0.2117096456711808,0.133217634269857,-0.07849201140132381,-0.18585632857836906,0.010765993820002068,0.9225,0.023043524043249466,258
0.25,1,10,hmm_filtered,0.20637752512387034,0.18805238025819812,-0.018325144865672216,-0.10673090178335363,0.07516388432343231,0.6335,0.017711923896214756,257
0.25,1,10,hmm_smoothed,0.20637752512387034,0.23761377001000425,0.031236244886133913,-0.061451130357004044,0.12428227835148693,0.297,0.013867388349466991,257
0.25,1,10,gmm_filtered,0.20637752512387034,0.16421285253092496,-0.042164672592945374,-0.14121284211124047,0.05067342060645218,0.7825,0.02541437787171568,257
0.25,1,10,rules,0.20637752512387034,0.14070590839722136,-0.06567161672664898,-0.14419142971844076,0.005160982189809121,0.935,0.022979256860885127,257
0.25,1,20,hmm_filtered,0.20637752512387034,0.1831443123053673,-0.023233212818503046,-0.11240707838788379,0.0689194430714584,0.6615,0.017711923896214756,257
0.25,1,20,hmm_smoothed,0.20637752512387034,0.23387269037967498,0.027495165255804643,-0.06442127660239483,0.12049827595712466,0.321,0.013867388349466991,257
0.25,1,20,gmm_filtered,0.20637752512387034,0.15733069175156553,-0.04904683337230481,-0.14805218179322036,0.04381426041758553,0.818,0.02541437787171568,257
0.25,1,20,rules,0.20637752512387034,0.13456479418827863,-0.0718127309355917,-0.1513076502217156,-0.0006007763072865521,0.9515,0.022979256860885127,257
0.25,1,50,hmm_filtered,0.20637752512387034,0.16841614232903065,-0.03796138279483968,-0.1292037997275835,0.05325336532166106,0.7595,0.017711923896214756,257
0.25,1,50,hmm_smoothed,0.20637752512387034,0.22263213437696383,0.016254609253093494,-0.07456993773173025,0.10749125684851556,0.396,0.013867388349466991,257
0.25,1,50,gmm_filtered,0.20637752512387034,0.13668797987013112,-0.06968954525373922,-0.16945795602771466,0.02449224322280334,0.896,0.02541437787171568,257
0.25,1,50,rules,0.20637752512387034,0.11616024449735772,-0.09021728062651262,-0.17303216933540666,-0.01772920287742085,0.9815,0.022979256860885127,257
0.5,0,10,hmm_filtered,0.2117096456711808,0.18384361546018735,-0.02786603021099346,-0.18023733722712107,0.12440471570236755,0.6235,0.03534038494756225,258
0.5,0,10,hmm_smoothed,0.2117096456711808,0.3014281855517007,0.08971853988051989,-0.0821560588592603,0.2598540894688961,0.189,0.027627277564441992,258
0.5,0,10,gmm_filtered,0.2117096456711808,0.11381899415891208,-0.09789065151226872,-0.32687533373579764,0.09123542751594055,0.7785,0.051832711556549935,258
0.5,0,10,rules,0.2117096456711808,0.0998060714228316,-0.11190357424834921,-0.3140885900934058,0.06832418600467562,0.8555,0.046087048086498945,258
0.5,0,20,hmm_filtered,0.2117096456711808,0.17455275274027843,-0.03715689293090238,-0.1897235139797977,0.11407943999829082,0.67,0.03534038494756225,258
0.5,0,20,hmm_smoothed,0.2117096456711808,0.29490178100992687,0.08319213533874606,-0.08867482993672225,0.25191287558099557,0.206,0.027627277564441992,258
0.5,0,20,gmm_filtered,0.2117096456711808,0.10079733615284868,-0.11091230951833213,-0.3400793660883122,0.07954227449348918,0.8155,0.051832711556549935,258
0.5,0,20,rules,0.2117096456711808,0.0879587834196775,-0.12375086225150331,-0.3278308181214317,0.05673433970164648,0.88,0.046087048086498945,258
0.5,0,50,hmm_filtered,0.2117096456711808,0.1466342478839473,-0.06507539778723351,-0.2215743115747794,0.08624492772221375,0.7685,0.03534038494756225,258
0.5,0,50,hmm_smoothed,0.2117096456711808,0.2752256496752831,0.06351600400410232,-0.10745110338891548,0.22887054045569924,0.2605,0.027627277564441992,258
0.5,0,50,gmm_filtered,0.2117096456711808,0.0617895037825853,-0.1499201418885955,-0.3820342586806576,0.041516289282700514,0.896,0.051832711556549935,258
0.5,0,50,rules,0.2117096456711808,0.052485645639464625,-0.1592240000317162,-0.36283159010977784,0.01784748651702699,0.927,0.046087048086498945,258
0.5,1,10,hmm_filtered,0.20637752512387034,0.16021609456332775,-0.04616143056054259,-0.22282535898090733,0.13884981455942857,0.666,0.03542384779242951,257
0.5,1,10,hmm_smoothed,0.20637752512387034,0.24540575104555987,0.03902822592168953,-0.14033783444521838,0.2231167219653139,0.3645,0.027734776698933983,257
0.5,1,10,gmm_filtered,0.20637752512387034,0.11408439370139842,-0.09229313142247192,-0.2856206046386196,0.08728722266771252,0.8155,0.05082875574343136,257
0.5,1,10,rules,0.20637752512387034,0.07392192076272855,-0.1324556043611418,-0.2911296899644712,0.009952829346076412,0.938,0.04595851372177027,257
0.5,1,20,hmm_filtered,0.20637752512387034,0.15075822943848038,-0.05561929568538995,-0.23304971092420496,0.12939117455813434,0.701,0.03542384779242951,257
0.5,1,20,hmm_smoothed,0.20637752512387034,0.2386515561360322,0.03227403101216186,-0.14544330269867098,0.21554079829988587,0.389,0.027734776698933983,257
0.5,1,20,gmm_filtered,0.20637752512387034,0.10138233172517429,-0.10499519339869605,-0.2988390609780801,0.07527142476022045,0.8455,0.05082875574343136,257
0.5,1,20,rules,0.20637752512387034,0.06262931981056258,-0.14374820531330776,-0.3021874405096945,-0.0023494547134500538,0.951,0.04595851372177027,257
0.5,1,50,hmm_filtered,0.20637752512387034,0.1224133668233587,-0.08396415830051164,-0.2663800700601757,0.10177555285832757,0.778,0.03542384779242951,257
