eta,lag,cost_bp,source,sharpe_static,sharpe_timed,diff,diff_p05,diff_p95,p_one_sided,mean_turnover,n_months
0.25,0,10,hmm_filtered,0.2117096456711808,0.23971780411252838,0.028008158441347575,-0.06097517356824091,0.11618715896712961,0.3345,0.019651283060155535,258
0.25,0,10,hmm_smoothed,0.2117096456711808,0.20226420814587867,-0.009445437525302136,-0.10089593974864904,0.07753409820347326,0.5795,0.022709780650167124,258
0.25,0,20,hmm_filtered,0.2117096456711808,0.23446647594528988,0.022756830274109074,-0.06584171825266795,0.10976169211407819,0.3665,0.019651283060155535,258
0.25,0,20,hmm_smoothed,0.2117096456711808,0.19609418146926422,-0.01561546420191659,-0.10763461933658416,0.07231257314793654,0.6275,0.022709780650167124,258
0.25,0,50,hmm_filtered,0.2117096456711808,0.21867857226219872,0.0069689265910179155,-0.0822698305150593,0.09361971325471856,0.483,0.019651283060155535,258
0.25,0,50,hmm_smoothed,0.2117096456711808,0.17757367270909405,-0.03413597296208676,-0.12875278689830463,0.054774873065729084,0.747,0.022709780650167124,258
0.25,1,10,hmm_filtered,0.20637752512387034,0.2185074193027555,0.012129894178885159,-0.08542781222289922,0.10455523336294431,0.4145,0.019610883860782836,257
0.25,1,10,hmm_smoothed,0.20637752512387034,0.19030875764001567,-0.016068767483854662,-0.11678179496900938,0.08531310183678943,0.6025,0.02272809371855653,257
0.25,1,20,hmm_filtered,0.20637752512387034,0.2131358344949433,0.006758309371072968,-0.09140240671221928,0.0986734573420074,0.4585,0.019610883860782836,257
0.25,1,20,hmm_smoothed,0.20637752512387034,0.18414078322488872,-0.022236741898981616,-0.12234191444068225,0.07967522620720308,0.6395,0.02272809371855653,257
0.25,1,50,hmm_filtered,0.20637752512387034,0.1970244231073826,-0.00935310201648773,-0.10983337683153963,0.08075020859978368,0.582,0.019610883860782836,257
0.25,1,50,hmm_smoothed,0.20637752512387034,0.16562948404947106,-0.04074804107439928,-0.1414492763371007,0.06115512961464986,0.7515,0.02272809371855653,257
0.5,0,10,hmm_filtered,0.2117096456711808,0.25067869173922364,0.03896904606804283,-0.13383108618044992,0.20804086832517343,0.391,0.03930256612031108,258
0.5,0,10,hmm_smoothed,0.2117096456711808,0.18093161830407894,-0.030778027367101862,-0.20822449250166905,0.1392246266506252,0.6305,0.04541956130033425,258
0.5,0,20,hmm_filtered,0.2117096456711808,0.24083490274105956,0.029125257069878757,-0.14340531003703913,0.19722817840975557,0.4235,0.03930256612031108,258
0.5,0,20,hmm_smoothed,0.2117096456711808,0.16936170451194166,-0.04234794115923915,-0.22117633178817767,0.12850564053294944,0.6705,0.04541956130033425,258
0.5,0,50,hmm_filtered,0.2117096456711808,0.21119637388982324,-0.0005132717813575716,-0.17229594972877346,0.16478879879369152,0.537,0.03930256612031108,258
