source,eta,n_months,n_months_off_static,share_off_static,mean_abs_deviation,max_abs_deviation
hmm_filtered,0.25,258,186,0.7209302325581395,0.038877436968754495,0.2
hmm_filtered,0.5,258,186,0.7209302325581395,0.07775487393750899,0.39999999999999997
hmm_filtered,1.0,258,186,0.7209302325581395,0.15550974787501798,0.8
hmm_smoothed,0.25,258,186,0.7209302325581395,0.03637991726304113,0.2
hmm_smoothed,0.5,258,186,0.7209302325581395,0.07275983452608226,0.39999999999999997
hmm_smoothed,1.0,258,186,0.7209302325581395,0.1455196690521645,0.8
gmm_filtered,0.25,258,191,0.7403100775193798,0.04030315649391123,0.2
gmm_filtered,0.5,258,191,0.7403100775193798,0.08060631298782246,0.39999999999999997
gmm_filtered,1.0,258,191,0.7403100775193798,0.16121262597564492,0.8
rules,0.25,258,154,0.5968992248062015,0.03033425976632318,0.2
rules,0.5,258,154,0.5968992248062015,0.06066851953264636,0.39999999999999997
rules,1.0,258,154,0.5968992248062015,0.12133703906529272,0.8
